t,x,tf,ts
0.6240625,0.895,1.0062215,1.0028577
0.7835125,0.778,1.1899877,1.1101815
0.39810625,0.469,1.0142075,1.0059599
0.41590625,0.948,0.99972504,0.99996483
0.94975,0.457,2.542086,2.1980114
0.4155844,0.479,1.0232449,1.009619
0.7788031,0.993,1.0337886,1.022647
0.2395625,0.723,0.9996937,0.99975014
0.34712186,0.067,3.1189442,1.629595
0.27600312,0.428,1.0002055,1.0001335
0.7563844,0.833,1.0962107,1.0528873
0.8521375,0.145,3.550617,3.112331
0.010440625,0.428,0.99976045,1.0000494
0.76192814,0.558,1.671476,1.4329371
0.78310627,0.866,1.0933893,1.0526489
0.7272969,0.916,1.03027,1.0164261
0.33194062,0.864,0.99992555,0.99981046
0.09474687,0.245,1.000495,1.0004194
0.7635375,0.671,1.351515,1.2119124
0.30922812,0.423,1.0002064,1.0001152
0.5528125,0.908,1.0007265,1.0001596
0.3321875,0.062,3.0946012,1.5416325
0.33334374,0.416,1.0009508,1.0003904
0.1943375,0.477,1.000212,0.9998801
0.62570935,0.292,2.4434185,1.9553291
0.5650906,0.054,3.686075,2.7106435
0.47165,0.67,1.0033779,1.0014614
0.10005,0.987,1.0000871,1.000066
0.19085938,0.363,1.0003839,1.000277
0.62282187,0.675,1.0994215,1.051352
0.74158126,0.764,1.1509404,1.0845196
0.6104031,0.299,2.3518732,1.872971
0.8722344,0.355,2.7846844,2.3968856
0.17785938,0.646,0.9997209,0.9997003
0.9010625,0.996,1.1174933,1.0857323
0.8485906,0.264,3.1096776,2.694708
0.7830125,0.141,3.4974759,2.9978278
0.13966562,0.86,0.9998085,1.0000155
0.73228127,0.03,3.8837326,3.1568477
0.21408124,0.047,0.9967511,0.99823856
0.7942156,0.774,1.2116199,1.1242541
0.8735875,0.274,3.1120555,2.7111347
0.7812156,0.942,1.0467576,1.0284871
0.46109375,0.032,3.7486036,2.3656073
0.6484906,0.061,3.7128956,2.927558
0.46017814,0.748,1.0001719,0.99990916
0.21534374,0.882,0.99977356,0.99996424
0.117725,0.059,0.9996039,0.9999697
0.7674406,0.54,1.7503369,1.4917624
0.5031094,0.972,0.9999841,0.9999672
0.0718875,0.071,0.99981123,0.99975276
0.8274438,0.259,3.0936735,2.6664736
0.6725063,0.651,1.2106723,1.116714
0.26907814,0.388,1.0002986,1.0002437
0.62630624,0.695,1.0839968,1.0432092
0.90775,0.211,3.3874362,3.0011792
0.80255,0.133,3.5467255,3.0599737
0.41985938,0.209,2.0644772,1.4699296
0.3369875,0.829,0.9999277,0.99981153
0.864825,0.089,3.7374542,3.2731411
0.27018124,0.127,1.0768139,1.0111431
0.26585,0.749,0.99976987,0.9997499
0.6926594,0.472,1.7896119,1.5012797
0.62850624,0.189,3.0289392,2.4202945
0.9445375,0.321,3.0518668,2.6848822
0.9517625,0.514,2.3266904,2.0043597
0.2793531,0.098,1.4929116,1.0645248
0.6064219,0.665,1.0892689,1.0454673
0.1833875,0.819,0.9996868,0.99995494
0.28625312,0.792,0.9998532,0.99977565
0.53220624,0.092,3.4123094,2.4852386
0.4147781,0.986,0.99969953,0.99999464
0.5724844,0.104,3.402714,2.5837145
0.34860626,0.09,2.8112085,1.5529395
0.21351562,0.699,0.9996634,0.9997473
0.62045,0.652,1.1225833,1.0637649
0.699875,0.374,2.2554498,1.8567473
0.5399125,0.424,1.4528368,1.2381353
0.20965625,0.758,0.99965245,0.9998417
0.6489844,0.085,3.5988386,2.868027
0.29826564,0.122,1.640372,1.114677
0.26657814,0.159,1.009592,1.0019697
0.5831031,0.702,1.0394636,1.0195209
0.07404062,0.642,0.99960285,0.9996066
0.18878438,0.971,0.9998515,1.0000036
0.8777281,0.825,1.2579122,1.1605005
0.5386875,0.23,2.5094187,1.908699
0.2852,0.16,1.0980339,1.0182409
0.68785936,0.478,1.7502389,1.4718041
0.34965,0.105,2.6159034,1.4998362
0.5357937,0.045,3.7166665,2.6336818
0.8522125,0.331,2.842725,2.442433
0.8176719,0.423,2.3662896,1.9992819
0.5878375,0.657,1.074939,1.0375236
0.5487,0.58,1.1038913,1.0507114
0.168375,0.047,1.0008117,1.0005398
0.33147812,0.212,1.2922472,1.0803361
0.16375,0.938,0.9998395,1.0000424
0.8211719,0.723,1.3522619,1.2175443
0.10628437,0.655,0.99966604,0.9996698
0.14460938,0.133,0.99964064,1.0000141
0.821625,0.657,1.5156771,1.3306137
0.28113437,0.411,1.0002584,1.0001758
0.08136562,0.208,1.0004094,1.0004191
0.54214686,0.467,1.3165704,1.1624213
0.30480936,0.205,1.0997677,1.0236394
0.7044875,0.53,1.6065624,1.3754051
0.34082812,0.248,1.1907853,1.0572343
0.8626469,0.148,3.5500937,3.1211846
0.4214125,0.474,1.0314353,1.0130007
0.27840313,0.886,0.99991363,0.99984217
0.15299375,0.376,1.0005407,1.0001957
0.8629063,0.705,1.479671,1.3099602
0.8484219,0.029,3.911658,3.3407986
0.11491875,0.073,0.99957603,0.99995923
0.9455031,0.698,1.6785471,1.4678671
0.4366625,0.233,1.9826877,1.4548576
0.19215937,0.633,0.99974424,0.9996872
0.474425,0.676,1.0033057,1.0014224
0.5342031,0.229,2.4987032,1.8951418
0.07443125,0.144,1.0001228,1.0002079
0.90980315,0.739,1.4918476,1.3242605
0.533,0.634,1.038353,1.0182326
0.9357,0.594,1.9926965,1.7158774
0.48566562,0.824,1.0003557,0.99979365
0.0733125,0.727,0.9997527,0.99973035
0.73340315,0.92,1.0315394,1.0173637
0.7792969,0.757,1.2150996,1.125579
0.6118719,0.398,1.8376653,1.5055276
0.112678126,0.823,0.99984556,0.9999578
0.7196531,0.546,1.5951225,1.3705511
0.8255531,0.21,3.2857141,2.8472228
0.5565781,0.754,1.0104415,1.0049275
0.23543437,0.986,0.99992615,0.9999044
0.11102188,0.926,0.9999978,1.000057
0.5275125,0.838,1.0011522,1.000181
0.77017814,0.152,3.440308,2.9356046
0.2827969,0.964,0.99999195,0.99982715
0.9118125,0.898,1.20125,1.131032
0.42676562,0.576,1.0042144,1.0019616
