t,x,tf,ts
0.6240625,0.895,1.0061704,1.0028751
0.7835125,0.778,1.1861162,1.1081551
0.39810625,0.469,1.0135096,1.0053252
0.41590625,0.948,1.0003893,1.0000784
0.94975,0.457,2.5356016,2.190756
0.4155844,0.479,1.0215127,1.0089607
0.7788031,0.993,1.0333598,1.0223974
0.2395625,0.723,1.000303,1.0001221
0.34712186,0.067,3.098072,1.6131481
0.27600312,0.428,1.000319,1.0002415
0.7563844,0.833,1.0938002,1.0517153
0.8521375,0.145,3.547801,3.1074548
0.010440625,0.428,0.9995729,1.0003002
0.76192814,0.558,1.6636567,1.4267378
0.78310627,0.866,1.0912855,1.0514282
0.7272969,0.916,1.0296141,1.0160539
0.33194062,0.864,1.0003784,1.000129
0.09474687,0.245,0.9997735,1.000199
0.7635375,0.671,1.3452939,1.2080976
0.30922812,0.423,0.99997,1.0000256
0.5528125,0.908,1.0006025,1.0003699
0.3321875,0.062,3.0689201,1.5256418
0.33334374,0.416,1.0006777,1.000282
0.1943375,0.477,1.000201,1.0000956
0.62570935,0.292,2.4335132,1.9456342
0.5650906,0.054,3.6835093,2.7013137
0.47165,0.67,1.0033686,1.0021578
0.10005,0.987,0.9998906,0.99992365
0.19085938,0.363,1.000216,1.0001014
0.62282187,0.675,1.0962259,1.0498008
0.74158126,0.764,1.147191,1.0828071
0.6104031,0.299,2.3412728,1.8630446
0.8722344,0.355,2.7785783,2.3896005
0.17785938,0.646,1.0001061,1.0000217
0.9010625,0.996,1.1152211,1.0843852
0.8485906,0.264,3.1043434,2.688287
0.7830125,0.141,3.4943752,2.9923816
0.13966562,0.86,0.99997926,0.99993294
0.73228127,0.03,3.8829546,3.1516593
0.21408124,0.047,1.0011449,1.0004324
0.7942156,0.774,1.2075591,1.1220512
0.8735875,0.274,3.1067038,2.7046041
0.7812156,0.942,1.0458347,1.0278162
0.46109375,0.032,3.7462807,2.3540568
0.6484906,0.061,3.7109003,2.9204135
0.46017814,0.748,1.0007974,1.0008585
0.21534374,0.882,1.0002038,0.9999863
0.117725,0.059,1.000179,1.0003628
0.7674406,0.54,1.7424736,1.4852734
0.5031094,0.972,1.0002759,1.000199
0.0718875,0.071,0.999896,1.0005369
0.8274438,0.259,3.0883102,2.6600945
0.6725063,0.651,1.2055432,1.1138351
0.26907814,0.388,1.0003163,1.0002424
0.62630624,0.695,1.0812231,1.0419486
0.90775,0.211,3.3834782,2.9956527
0.80255,0.133,3.5439334,3.0547996
0.41985938,0.209,2.0432801,1.4566191
0.3369875,0.829,1.0003747,1.000139
0.864825,0.089,3.7357683,3.269035
0.27018124,0.127,1.0717187,1.0111933
0.26585,0.749,1.0003481,1.0001558
0.6926594,0.472,1.7803351,1.4941776
0.62850624,0.189,3.022204,2.411036
0.9445375,0.321,3.0465703,2.6781406
0.9517625,0.514,2.3194833,1.9971601
0.2793531,0.098,1.481537,1.0628742
0.6064219,0.665,1.0863612,1.043985
0.1833875,0.819,1.000117,0.99997395
0.28625312,0.792,1.0003629,1.0001546
0.53220624,0.092,3.4072857,2.474164
0.4147781,0.986,1.0003889,1.0000799
0.5724844,0.104,3.3979688,2.5736217
0.34860626,0.09,2.7834854,1.5363723
0.21351562,0.699,1.0002335,1.0000769
0.62045,0.652,1.1188433,1.0618119
0.699875,0.374,2.246421,1.8486257
0.5399125,0.424,1.4420741,1.2315017
0.20965625,0.758,1.0002096,1.0000424
0.6489844,0.085,3.5960631,2.8605928
0.29826564,0.122,1.5874784,1.1065654
0.26657814,0.159,1.0098855,1.0021812
0.5831031,0.702,1.0383787,1.0190047
0.07404062,0.642,0.99977475,1.0000701
0.18878438,0.971,1.0001227,0.9999111
0.8777281,0.825,1.2539525,1.1579837
0.5386875,0.23,2.497942,1.8969431
0.2852,0.16,1.0970305,1.0188196
0.68785936,0.478,1.7409548,1.4648128
0.34965,0.105,2.5846987,1.4833925
0.5357937,0.045,3.7142425,2.623721
0.8522125,0.331,2.8367,2.4353402
0.8176719,0.423,2.3591576,1.9917426
0.5878375,0.657,1.0724776,1.036194
0.5487,0.58,1.10025,1.0485797
0.168375,0.047,1.0006444,1.0002719
0.33147812,0.212,1.2667991,1.0744264
0.16375,0.938,1.0000548,0.9999113
0.8211719,0.723,1.3467699,1.2141451
0.10628437,0.655,0.9998582,1.0000154
0.14460938,0.133,1.0001295,1.0001469
0.821625,0.657,1.509159,1.3257319
0.28113437,0.411,1.0002466,1.0002034
0.08136562,0.208,0.9997191,1.0002867
0.54214686,0.467,1.3078227,1.157174
0.30480936,0.205,1.09617,1.0239089
0.7044875,0.53,1.5980109,1.3691834
0.34082812,0.248,1.1749116,1.0531267
0.8626469,0.148,3.547265,3.1163507
0.4214125,0.474,1.0291426,1.012243
0.27840313,0.886,1.0003257,1.0000713
0.15299375,0.376,1.0000179,1.0000495
0.8629063,0.705,1.4738274,1.3056473
0.8484219,0.029,3.910818,3.3368766
0.11491875,0.073,1.0000966,1.0003513
0.9455031,0.698,1.6725916,1.4627885
0.4366625,0.233,1.9631475,1.4423804
0.19215937,0.633,1.0001649,1.0000529
0.474425,0.676,1.0033342,1.0021443
0.5342031,0.229,2.4870343,1.8833104
0.07443125,0.144,0.9997133,1.0004243
0.90980315,0.739,1.4863688,1.3200713
0.533,0.634,1.0370387,1.0175407
0.9357,0.594,1.98544,1.7092693
0.48566562,0.824,1.0008256,1.0006647
0.0733125,0.727,0.9997888,1.0000464
0.73340315,0.92,1.0308629,1.0169636
0.7792969,0.757,1.210794,1.1232995
0.6118719,0.398,1.8265613,1.497324
0.112678126,0.823,0.9998987,0.9999604
0.7196531,0.546,1.5868428,1.364483
0.8255531,0.21,3.2812371,2.8413877
0.5565781,0.754,1.0106325,1.0052865
0.23543437,0.986,1.0002246,0.99993956
0.11102188,0.926,0.9999091,0.9999304
0.5275125,0.838,1.0014952,1.0009112
0.77017814,0.152,3.4368415,2.9299319
0.2827969,0.964,1.0003064,1.00001
0.9118125,0.898,1.1977168,1.1287848
0.42676562,0.576,1.0039698,1.0020994
0.29675624,0.318,1.0005171,1.0003105
0.3042344,0.983,1.0003283,1.0000185
0.69867814,0.7,1.1714916,1.0954641
0.006975,0.768,0.9996722,1.0001522
0.9119656,0.374,2.7833652,2.4097133
0.734525,0.666,1.2964677,1.1741569
0.09321562,0.345,0.9997734,1.0001403
0.53171873,0.431,1.3869215,1.1985402
0.14410312,0.19,1.0000472,1.0001044
0.45708126,0.688,1.0014235,1.001289
0.56865937,0.893,1.0014107,1.0007132
0.9042063,0.206,3.3962364,3.0059397
0.2602875,0.045,1.6945633,1.0467664
0.91055626,0.588,1.9456418,1.6717641
0.58045936,0.879,1.0026883,1.0012606
0.25195,0.495,1.0003867,1.0002493
0.77905,0.903,1.0631279,1.035944
0.38664374,0.693,1.000199,1.0001142
0.87009686,0.646,1.6549557,1.438252
0.052496877,0.77,0.9997541,1.0000708
0.023896875,0.262,0.999515,1.0004504
0.95607185,0.567,2.131058,1.8352399
