t,x,ts
0.0,0.02,3.85277
0.010012516,0.02,4.1054916
0.020025032,0.02,4.246692
0.030037548,0.02,4.3169465
0.040050063,0.02,4.343788
0.05006258,0.02,4.3435674
0.060075097,0.02,4.3247805
0.07008761,0.02,4.291536
0.08010013,0.02,4.2462363
0.09011264,0.02,4.191337
0.10012516,0.02,4.1302085
0.11013767,0.02,4.067002
0.12015019,0.02,4.0057483
0.1301627,0.02,3.9494581
0.14017522,0.02,3.899782
0.15018773,0.02,3.857226
0.16020025,0.02,3.8215706
0.17021278,0.02,3.7922356
0.18022528,0.02,3.7685025
0.1902378,0.02,3.7496262
0.20025031,0.02,3.7348707
0.21026284,0.02,3.7235215
0.22027534,0.02,3.714896
0.23028786,0.02,3.7083585
0.24030039,0.02,3.7033424
0.2503129,0.02,3.6993673
0.26032543,0.02,3.696055
0.27033794,0.02,3.6931226
0.28035045,0.02,3.690381
0.29036295,0.02,3.6877189
0.3003755,0.02,3.6850793
0.310388,0.02,3.6824496
0.3204005,0.02,3.6798441
0.330413,0.02,3.6772914
0.34042555,0.02,3.6748257
0.35043806,0.02,3.6724849
0.36045057,0.02,3.6703014
0.37046307,0.02,3.6683054
0.3804756,0.02,3.6665177
0.39048812,0.02,3.664955
0.40050063,0.02,3.6636267
0.41051313,0.02,3.6625404
0.42052567,0.02,3.6616938
0.43053818,0.02,3.6610844
0.44055068,0.02,3.6607053
0.4505632,0.02,3.6605473
0.46057573,0.02,3.6605985
0.47058824,0.02,3.6608472
0.48060077,0.02,3.6612782
0.49061328,0.02,3.661879
0.5006258,0.02,3.662634
0.5106383,0.02,3.6635292
0.52065086,0.02,3.6645472
0.5306634,0.02,3.6656773
0.5406759,0.02,3.666905
0.5506884,0.02,3.668216
0.5607009,0.02,3.6695986
0.5707134,0.02,3.6710413
0.5807259,0.02,3.6725352
0.5907384,0.02,3.6740685
0.600751,0.02,3.6756341
0.6107635,0.02,3.6772254
0.620776,0.02,3.6788356
0.6307885,0.02,3.6804607
0.640801,0.02,3.682098
0.6508135,0.02,3.6837466
0.660826,0.02,3.6854064
0.67083853,0.02,3.687082
0.6808511,0.02,3.6887765
0.6908636,0.02,3.6904967
0.7008761,0.02,3.692254
0.7108886,0.02,3.694059
0.72090113,0.02,3.6959264
0.73091364,0.02,3.6978734
0.74092615,0.02,3.699921
0.75093865,0.02,3.7020905
0.7609512,0.02,3.7044065
0.7709637,0.02,3.7068942
0.78097624,0.02,3.7095802
0.79098874,0.02,3.7124908
0.80100125,0.02,3.7156475
0.81101376,0.02,3.7190707
0.82102627,0.02,3.7227693
0.8310388,0.02,3.7267427
0.84105134,0.02,3.7309723
0.85106385,0.02,3.7354195
0.86107635,0.02,3.7400143
0.87108886,0.02,3.7446501
0.88110137,0.02,3.7491755
0.8911139,0.02,3.7533798
0.9011264,0.02,3.7569892
0.9111389,0.02,3.7596521
0.92115146,0.02,3.7609322
0.93116397,0.02,3.760299
0.9411765,0.02,3.7571254
0.951189,0.02,3.7506888
0.96120155,0.02,3.7401726
0.97121406,0.02,3.7246873
0.98122656,0.02,3.7032855
0.9912391,0.02,3.6750066
1.0012516,0.02,3.6389222
1.0112641,0.02,3.594204
1.0212766,0.02,3.5402107
1.0312891,0.02,3.4765832
1.0413016,0.02,3.4033468
1.0513141,0.02,3.320999
1.0613266,0.02,3.230556
1.0713391,0.02,3.1335404
1.0813516,0.02,3.0318847
1.0913641,0.02,2.9277775
1.1013767,0.02,2.8234396
1.1113892,0.02,2.7209353
1.1214018,0.02,2.6219969
1.1314143,0.02,2.52794
1.1414268,0.02,2.439628
1.1514393,0.02,2.357516
1.1614518,0.02,2.2817254
1.1714643,0.02,2.2121193
1.1814768,0.02,2.1483884
1.1914895,0.02,2.0901241
1.2015018,0.02,2.0368621
1.2115144,0.02,1.9881258
1.2215269,0.02,1.9434543
1.2315394,0.02,1.9024118
1.2415519,0.02,1.8645978
1.2515644,0.02,1.8296516
1.2615769,0.02,1.7972491
1.2715895,0.02,1.767103
1.281602,0.02,1.7389642
1.2916145,0.02,1.7126111
1.301627,0.02,1.6878512
1.3116395,0.02,1.6645206
1.321652,0.02,1.6424768
1.3316646,0.02,1.6215968
1.3416771,0.02,1.6017776
1.3516896,0.02,1.5829315
1.3617022,0.02,1.564985
1.3717147,0.02,1.5478756
1.3817272,0.02,1.5315522
1.3917397,0.02,1.5159689
1.4017522,0.02,1.5010889
1.4117647,0.02,1.4868776
1.4217772,0.02,1.4733073
1.4317899,0.02,1.4603509
1.4418023,0.02,1.4479853
1.4518148,0.02,1.4361868
1.4618273,0.02,1.4249341
