t,tf0,ts0
520392.6,874.8905,798.2871
522870.66,873.3849,842.73413
525348.72,873.2822,861.80975
527826.78,872.9773,868.8528
530304.84,873.02704,871.72076
532782.9,873.0255,872.8541
535260.96,873.156,873.2973
537739.02,873.07654,873.3503
540217.08,873.2417,873.39166
542695.14,873.07983,873.82404
545173.2,873.2652,874.02124
547651.26,873.19275,873.8463
550129.32,873.2985,874.0787
552607.38,873.05554,873.833
555085.44,872.86615,873.7283
557563.5,872.86206,873.77386
560041.5599999999,872.84,873.6594
562519.62,872.69794,872.81885
564997.6799999999,871.26355,872.47174
567475.74,866.8828,870.2819
569953.7999999999,858.0209,864.80804
572431.86,843.69293,854.5263
574909.9199999999,823.914,839.08215
577387.98,799.4115,818.57574
579866.0399999999,771.1304,793.8124
582344.1,740.08734,765.8281
584822.16,739.69574,744.52246
587300.22,740.3353,741.70496
589778.28,739.3833,741.442
592256.34,738.4946,740.30945
594734.4,737.8381,739.34827
597212.46,737.2326,738.7746
599690.52,736.8376,738.11707
602168.58,736.6554,738.1737
