t,x,ts
0.0,0.02,1.1781217
0.010012516,0.02,1.4151692
0.020025032,0.02,1.6938468
0.030037548,0.02,1.9935366
0.040050063,0.02,2.290122
0.05006258,0.02,2.562438
0.060075097,0.02,2.7976184
0.07008761,0.02,2.9922733
0.08010013,0.02,3.1495638
0.09011264,0.02,3.275391
0.10012516,0.02,3.375861
0.11013767,0.02,3.456186
0.12015019,0.02,3.5204556
0.1301627,0.02,3.5717688
0.14017522,0.02,3.612483
0.15018773,0.02,3.6444278
0.16020025,0.02,3.669073
0.17021278,0.02,3.6876423
0.18022528,0.02,3.7011824
0.1902378,0.02,3.7105992
0.20025031,0.02,3.716676
0.21026284,0.02,3.7200859
0.22027534,0.02,3.7213964
0.23028786,0.02,3.7210705
0.24030039,0.02,3.719481
0.2503129,0.02,3.7169142
0.26032543,0.02,3.7135882
0.27033794,0.02,3.7096658
0.28035045,0.02,3.7052693
0.29036295,0.02,3.7004943
0.3003755,0.02,3.6954212
0.310388,0.02,3.6901255
0.3204005,0.02,3.6846795
0.330413,0.02,3.679158
0.34042555,0.02,3.6736364
0.35043806,0.02,3.668191
0.36045057,0.02,3.6628942
0.37046307,0.02,3.6578164
0.3804756,0.02,3.6530206
0.39048812,0.02,3.648562
0.40050063,0.02,3.6444862
0.41051313,0.02,3.6408298
0.42052567,0.02,3.6376214
0.43053818,0.02,3.6348786
0.44055068,0.02,3.6326127
0.4505632,0.02,3.6308258
0.46057573,0.02,3.6295154
0.47058824,0.02,3.6286724
0.48060077,0.02,3.6282837
0.49061328,0.02,3.628334
0.5006258,0.02,3.6288056
0.5106383,0.02,3.6296759
0.52065086,0.02,3.6309266
0.5306634,0.02,3.632535
0.5406759,0.02,3.634481
0.5506884,0.02,3.6367435
0.5607009,0.02,3.639304
0.5707134,0.02,3.642143
0.5807259,0.02,3.6452436
0.5907384,0.02,3.6485906
0.600751,0.02,3.652171
0.6107635,0.02,3.6559708
0.620776,0.02,3.6599813
0.6307885,0.02,3.664192
0.640801,0.02,3.668597
0.6508135,0.02,3.6731896
0.660826,0.02,3.677966
0.67083853,0.02,3.6829257
0.6808511,0.02,3.6880648
0.6908636,0.02,3.6933854
0.7008761,0.02,3.6988873
0.7108886,0.02,3.7045753
0.72090113,0.02,3.710451
0.73091364,0.02,3.7165182
0.74092615,0.02,3.7227812
0.75093865,0.02,3.7292447
0.7609512,0.02,3.7359114
0.7709637,0.02,3.7427816
0.78097624,0.02,3.7498565
0.79098874,0.02,3.757131
0.80100125,0.02,3.7645957
0.81101376,0.02,3.7722356
0.82102627,0.02,3.7800264
0.8310388,0.02,3.787933
0.84105134,0.02,3.7959046
0.85106385,0.02,3.8038745
0.86107635,0.02,3.8117537
0.87108886,0.02,3.819424
0.88110137,0.02,3.826737
0.8911139,0.02,3.8335052
0.9011264,0.02,3.8394976
0.9111389,0.02,3.8444319
0.92115146,0.02,3.8479662
0.93116397,0.02,3.849695
0.9411765,0.02,3.849144
0.951189,0.02,3.8457572
0.96120155,0.02,3.8389015
0.97121406,0.02,3.8278542
0.98122656,0.02,3.8118067
0.9912391,0.02,3.7898617
1.0012516,0.02,3.7610497
1.0112641,0.02,3.7243407
1.0212766,0.02,3.6786935
1.0312891,0.02,3.6231053
1.0413016,0.02,3.5567183
1.0513141,0.02,3.4789479
1.0613266,0.02,3.389648
1.0713391,0.02,3.2892947
1.0813516,0.02,3.179133
1.0913641,0.02,3.0612335
1.1013767,0.02,2.9384012
1.1113892,0.02,2.813924
1.1214018,0.02,2.691175
1.1314143,0.02,2.5731964
1.1414268,0.02,2.4624004
1.1514393,0.02,2.360377
1.1614518,0.02,2.2679372
1.1714643,0.02,2.1852417
1.1814768,0.02,2.1119807
1.1914895,0.02,2.0475588
1.2015018,0.02,1.9912295
1.2115144,0.02,1.9421874
1.2215269,0.02,1.8996351
1.2315394,0.02,1.8628106
1.2415519,0.02,1.8310019
1.2515644,0.02,1.8035471
1.2615769,0.02,1.7798321
1.2715895,0.02,1.7592857
1.281602,0.02,1.741374
1.2916145,0.02,1.7255939
1.301627,0.02,1.7114769
1.3116395,0.02,1.6985875
1.321652,0.02,1.6865315
1.3316646,0.02,1.6749667
1.3416771,0.02,1.6636058
1.3516896,0.02,1.652229
1.3617022,0.02,1.6406865
1.3717147,0.02,1.6288978
1.3817272,0.02,1.6168419
1.3917397,0.02,1.6045518
1.4017522,0.02,1.5920976
1.4117647,0.02,1.5795707
1.4217772,0.02,1.567073
1.4317899,0.02,1.5547042
1.4418023,0.02,1.5425539
1.4518148,0.02,1.5306983
1.4618273,0.02,1.5191947
1.4718398,0.02,1.5080849
1.4818523,0.02,1.4973924
1.4918648,0.02,1.487131
1.5018773,0.02,1.4773012
1.5118899,0.02,1.4678931
1.5219024,0.02,1.4588943
1.531915,0.02,1.4502839
1.5419275,0.02,1.4420415
1.55194,0.02,1.4341421
1.5619525,0.02,1.4265618
1.571965,0.02,1.4192756
1.5819775,0.02,1.4122596
1.59199,0.02,1.4054906
1.6020025,0.02,1.3989463
1.612015,0.02,1.3926048
1.6220275,0.02,1.3864466
1.63204,0.02,1.380453
1.6420525,0.02,1.3746066
1.652065,0.02,1.3688893
1.6620775,0.02,1.3632871
1.67209,0.02,1.3577845
1.6821027,0.02,1.3523678
1.6921152,0.02,1.3470236
1.7021277,0.02,1.3417397
1.7121402,0.02,1.3365045
1.7221527,0.02,1.3313069
1.7321652,0.02,1.3261355
1.7421777,0.02,1.3209814
1.7521904,0.02,1.3158336
1.7622027,0.02,1.3106829
1.7722152,0.02,1.305521
1.7822278,0.02,1.3003389
1.7922403,0.02,1.2951279
1.8022528,0.02,1.2898797
1.8122653,0.02,1.2845874
1.8222778,0.02,1.2792425
1.8322904,0.02,1.2738373
1.8423029,0.02,1.2683659
1.8523154,0.02,1.2628207
1.8623279,0.02,1.2571951
1.8723404,0.02,1.2514836
1.882353,0.02,1.2456789
1.8923655,0.02,1.2397771
1.902378,0.02,1.2337724
1.9123905,0.02,1.2276597
1.9224031,0.02,1.2214345
1.9324156,0.02,1.2150936
1.9424281,0.02,1.2086327
1.9524406,0.02,1.2020489
1.9624531,0.02,1.1953404
1.9724656,0.02,1.1885045
1.9824781,0.02,1.1815399
1.9924908,0.02,1.1744461
2.0025032,0.02,1.1672236
2.0125158,0.02,1.1598715
2.0225282,0.02,1.1523917
2.0325408,0.02,1.1447854
2.0425532,0.02,1.1370558
2.0525658,0.02,1.1292057
2.0625782,0.02,1.1212393
2.0725908,0.02,1.1131605
2.0826032,0.02,1.1049743
2.0926158,0.02,1.0966853
2.1026282,0.02,1.0883018
2.1126409,0.02,1.0798292
2.1226532,0.02,1.071274
2.1326659,0.02,1.0626456
2.1426783,0.02,1.0539507
2.152691,0.02,1.0451969
2.1627035,0.02,1.0363948
2.1727161,0.02,1.0275513
2.1827285,0.02,1.018678
2.1927412,0.02,1.009782
2.2027535,0.02,1.0008729
2.2127662,0.02,0.99196076
2.2227786,0.02,0.9830551
2.2327912,0.02,0.9741636
2.2428036,0.02,0.96529716
2.2528162,0.02,0.95646405
2.2628286,0.02,0.9476734
2.2728412,0.02,0.9389333
2.2828536,0.02,0.9302522
2.2928662,0.02,0.92163867
2.3028786,0.02,0.9130993
2.3128912,0.02,0.9046426
2.3229036,0.02,0.89627457
2.3329163,0.02,0.88800347
2.3429286,0.02,0.87983376
2.3529413,0.02,0.87177247
2.3629537,0.02,0.86382484
2.3729663,0.02,0.85599464
2.3829787,0.02,0.84828806
2.3929913,0.02,0.8407074
2.4030037,0.02,0.8332587
2.4130163,0.02,0.8259437
2.4230287,0.02,0.8187659
2.4330413,0.02,0.8117272
2.4430537,0.02,0.80482996
2.4530663,0.02,0.7980747
2.4630787,0.02,0.79146475
2.4730914,0.02,0.7849988
2.483104,0.02,0.7786783
2.4931166,0.02,0.7725024
2.503129,0.02,0.766472
2.5131416,0.02,0.7605853
2.523154,0.02,0.7548423
2.5331666,0.02,0.74924165
2.543179,0.02,0.74378026
2.5531917,0.02,0.73845685
2.563204,0.02,0.7332709
2.5732167,0.02,0.72821915
2.583229,0.02,0.7232978
2.5932417,0.02,0.7185063
2.603254,0.02,0.7138407
2.6132667,0.02,0.70929855
2.623279,0.02,0.70487666
2.6332917,0.02,0.7005723
2.643304,0.02,0.6963823
2.6533167,0.02,0.69230413
2.6633291,0.02,0.6883351
2.6733418,0.02,0.6844717
2.6833541,0.02,0.68071246
2.6933668,0.02,0.677054
2.7033792,0.02,0.6734945
2.7133918,0.02,0.67003185
2.7234044,0.02,0.66666377
2.733417,0.02,0.66338986
2.7434294,0.02,0.6602084
2.753442,0.02,0.6571187
2.7634544,0.02,0.6541194
2.773467,0.02,0.6512107
2.7834795,0.02,0.6483929
2.793492,0.02,0.6456655
2.8035045,0.02,0.64303035
2.813517,0.02,0.6404866
2.8235295,0.02,0.6380361
2.833542,0.02,0.6356807
2.8435545,0.02,0.633421
2.8535671,0.02,0.63125867
2.8635795,0.02,0.62919575
2.8735921,0.02,0.62723416
2.8836045,0.02,0.62537473
2.8936172,0.02,0.6236194
2.9036295,0.02,0.62197065
2.9136422,0.02,0.62042964
2.9236546,0.02,0.61899644
2.9336672,0.02,0.6176734
2.9436796,0.02,0.6164608
2.9536922,0.02,0.6153605
2.9637046,0.02,0.6143725
2.9737172,0.02,0.61349547
2.9837296,0.02,0.61273074
2.9937422,0.02,0.61207753
3.0037546,0.02,0.6115348
3.0137672,0.02,0.6111018
3.0237796,0.02,0.61077654
3.0337923,0.02,0.6105575
3.043805,0.02,0.61044365
3.0538175,0.02,0.6104316
3.06383,0.02,0.6105191
3.0738425,0.02,0.6107039
3.083855,0.02,0.6109831
3.0938675,0.02,0.61135316
3.10388,0.02,0.6118108
3.1138926,0.02,0.6123541
3.123905,0.02,0.61297774
3.1339176,0.02,0.6136805
3.14393,0.02,0.6144574
3.1539426,0.02,0.61530507
3.163955,0.02,0.61622095
3.1739676,0.02,0.6172014
3.18398,0.02,0.61824244
3.1939926,0.02,0.6193428
3.204005,0.02,0.62049687
3.2140176,0.02,0.6217046
3.22403,0.02,0.62296164
3.2340426,0.02,0.62426543
3.244055,0.02,0.625614
3.2540677,0.02,0.6270058
3.26408,0.02,0.62843746
3.2740927,0.02,0.6299093
3.2841053,0.02,0.63141835
3.294118,0.02,0.6329635
3.3041303,0.02,0.63454413
3.314143,0.02,0.6361595
3.3241553,0.02,0.6378089
3.334168,0.02,0.639492
3.3441803,0.02,0.6412086
3.354193,0.02,0.6429585
3.3642054,0.02,0.64474183
3.374218,0.02,0.6465605
3.3842304,0.02,0.6484124
3.394243,0.02,0.65030074
3.4042554,0.02,0.6522247
3.414268,0.02,0.6541871
3.4242804,0.02,0.6561873
3.434293,0.02,0.65822804
3.4443054,0.02,0.66031015
3.454318,0.02,0.6624363
3.4643304,0.02,0.664607
