t,x,tf,ts
0.6240625,0.895,1.0067015,1.0035933
0.7835125,0.778,1.2107786,1.1222223
0.39810625,0.469,1.0158017,1.0070634
0.41590625,0.948,0.9999394,0.9999527
0.94975,0.457,2.6768942,2.3134363
0.4155844,0.479,1.0256363,1.011417
0.7788031,0.993,1.0382,1.0265843
0.2395625,0.723,0.9999852,0.9999981
0.34712186,0.067,3.2031112,2.0597773
0.27600312,0.428,1.0000288,0.9999875
0.7563844,0.833,1.1061776,1.0586095
0.8521375,0.145,3.6799612,3.3454797
0.010440625,0.428,0.999923,0.999943
0.76192814,0.558,1.744023,1.482002
0.78310627,0.866,1.103502,1.0589796
0.7272969,0.916,1.0336434,1.0190569
0.33194062,0.864,0.9999701,0.9999807
0.09474687,0.245,0.99995124,0.9999497
0.7635375,0.671,1.3899033,1.235368
0.30922812,0.423,1.0000967,0.9999931
0.5528125,0.908,1.0005503,1.0003959
0.3321875,0.062,3.1769981,1.9570017
0.33334374,0.416,1.0010175,1.0004728
0.1943375,0.477,0.9999994,1.0000044
0.62570935,0.292,2.5861752,2.0908852
0.5650906,0.054,3.7830992,3.2155886
0.47165,0.67,1.0039991,1.0019659
0.10005,0.987,0.9999789,0.99998164
0.19085938,0.363,1.0000123,1.0000049
0.62282187,0.675,1.1103787,1.0569978
0.74158126,0.764,1.1671438,1.0933733
0.6104031,0.299,2.4874556,1.9987452
0.8722344,0.355,2.935341,2.5373123
0.17785938,0.646,0.9999913,1.0000014
0.9010625,0.996,1.1302079,1.0950336
0.8485906,0.264,3.2664247,2.8684156
0.7830125,0.141,3.6350508,3.2529566
0.13966562,0.86,0.99998534,0.99999166
0.73228127,0.03,3.9313302,3.5982573
0.21408124,0.047,1.002696,1.0000788
0.7942156,0.774,1.2348763,1.1379362
0.8735875,0.274,3.2670488,2.8799906
0.7812156,0.942,1.0528083,1.0329503
0.46109375,0.032,3.8209677,3.034874
0.6484906,0.061,3.8083272,3.3577418
0.46017814,0.748,1.0003567,1.0001745
0.21534374,0.882,0.9999771,0.9999944
0.117725,0.059,0.99998295,0.9999293
0.7674406,0.54,1.8308985,1.547493
0.5031094,0.972,0.99994427,0.99997807
0.0718875,0.071,0.9999386,0.9999324
0.8274438,0.259,3.2519755,2.8431213
0.6725063,0.651,1.2338712,1.1299045
0.26907814,0.388,1.0000337,0.99998677
0.62630624,0.695,1.0932331,1.0477107
0.90775,0.211,3.5302324,3.1898808
0.80255,0.133,3.6775942,3.3163052
0.41985938,0.209,2.152863,1.5907559
0.3369875,0.829,0.99997926,0.99998367
0.864825,0.089,3.8327618,3.547696
0.27018124,0.127,1.0927662,1.0165982
0.26585,0.749,0.99998415,0.9999951
0.6926594,0.472,1.8746644,1.5612571
0.62850624,0.189,3.1947384,2.651724
0.9445375,0.321,3.2019138,2.8372808
0.9517625,0.514,2.4486113,2.1035993
0.2793531,0.098,1.5659914,1.1027102
0.6064219,0.665,1.0992391,1.0505842
0.1833875,0.819,0.99998456,0.99999774
0.28625312,0.792,0.9999808,0.9999913
0.53220624,0.092,3.5505075,2.897466
0.4147781,0.986,0.9999256,0.99994767
0.5724844,0.104,3.5465636,2.9556198
0.34860626,0.09,2.900732,1.871763
0.21351562,0.699,0.99998724,1.0000004
0.62045,0.652,1.1360815,1.0711066
0.699875,0.374,2.383342,1.961685
0.5399125,0.424,1.499974,1.2710474
0.20965625,0.758,0.9999847,0.99999917
0.6489844,0.085,3.7189593,3.2477107
0.29826564,0.122,1.690866,1.1759477
0.26657814,0.159,1.0140791,1.0029745
0.5831031,0.702,1.0443962,1.0215431
0.07404062,0.642,0.99997216,0.9999757
0.18878438,0.971,0.9999766,0.999992
0.8777281,0.825,1.2864368,1.1791106
0.5386875,0.23,2.6513445,2.0741408
0.2852,0.16,1.1182809,1.0276384
0.68785936,0.478,1.8312697,1.528323
0.34965,0.105,2.7046504,1.7604235
0.5357937,0.045,3.8044,3.1898496
0.8522125,0.331,2.996552,2.590261
0.8176719,0.423,2.4981794,2.1077292
0.5878375,0.657,1.0835147,1.0418541
0.5487,0.58,1.1152011,1.0574222
0.168375,0.047,1.0002761,0.9999651
0.33147812,0.212,1.3167049,1.1079811
0.16375,0.938,0.9999822,0.9999926
0.8211719,0.723,1.3906668,1.241552
0.10628437,0.655,0.9999839,0.9999851
0.14460938,0.133,1.0000138,0.9999627
0.821625,0.657,1.5713494,1.3669734
0.28113437,0.411,1.0000372,0.9999826
0.08136562,0.208,0.9999372,0.99994004
0.54214686,0.467,1.3496277,1.1843048
0.30480936,0.205,1.1162882,1.034066
0.7044875,0.53,1.6725543,1.4193109
0.34082812,0.248,1.2085388,1.0745914
0.8626469,0.148,3.6792145,3.3496225
0.4214125,0.474,1.034664,1.0153894
0.27840313,0.886,0.9999672,0.9999858
0.15299375,0.376,1.0000027,0.9999976
0.8629063,0.705,1.5313184,1.3438933
0.8484219,0.029,3.9522338,3.704338
0.11491875,0.073,0.9999733,0.99993086
0.9455031,0.698,1.7490362,1.5176134
0.4366625,0.233,2.0687108,1.5586733
0.19215937,0.633,0.99999106,1.0000021
0.474425,0.676,1.0039251,1.0019292
0.5342031,0.229,2.6393805,2.060009
0.07443125,0.144,0.99993265,0.9999343
0.90980315,0.739,1.5444453,1.3596716
0.533,0.634,1.0433147,1.0207124
0.9357,0.594,2.0908327,1.7898993
0.48566562,0.824,1.0001858,1.0000865
0.0733125,0.727,0.9999738,0.9999771
