t,x,tf,ts
0.6240625,0.895,1.0058546,1.0026798
0.7835125,0.778,1.1851952,1.1069613
0.39810625,0.469,1.0133001,1.0053977
0.41590625,0.948,1.000001,0.9999362
0.94975,0.457,2.5335495,2.1891131
0.4155844,0.479,1.0216826,1.0088904
0.7788031,0.993,1.0326756,1.0220964
0.2395625,0.723,1.0000852,1.0000925
0.34712186,0.067,3.0782905,1.5991899
0.27600312,0.428,1.0002346,1.0001442
0.7563844,0.833,1.0927049,1.050794
0.8521375,0.145,3.5470593,3.1052358
0.010440625,0.428,1.0002848,1.0000006
0.76192814,0.558,1.6616132,1.4253058
0.78310627,0.866,1.0903445,1.0507944
0.7272969,0.916,1.0287671,1.0157174
0.33194062,0.864,1.0000507,1.0001098
0.09474687,0.245,1.0000169,1.0000156
0.7635375,0.671,1.3440936,1.2068595
0.30922812,0.423,1.0002247,1.0001572
0.5528125,0.908,1.0004648,1.0000726
0.3321875,0.062,3.0428565,1.5085105
0.33334374,0.416,1.0009657,1.0005305
0.1943375,0.477,1.0001961,1.0000762
0.62570935,0.292,2.430148,1.9422909
0.5650906,0.054,3.6820996,2.696929
0.47165,0.67,1.0036286,1.0017773
0.10005,0.987,1.0001582,1.0000681
0.19085938,0.363,1.0002651,1.0000739
0.62282187,0.675,1.0957441,1.0494837
0.74158126,0.764,1.1463387,1.0816088
0.6104031,0.299,2.337925,1.8597336
0.8722344,0.355,2.7763333,2.387446
0.17785938,0.646,1.0000185,1.0000455
0.9010625,0.996,1.1140878,1.0830375
0.8485906,0.264,3.1027007,2.6857944
0.7830125,0.141,3.4929442,2.9894412
0.13966562,0.86,1.0001279,1.0000694
0.73228127,0.03,3.8829343,3.1490903
0.21408124,0.047,1.0020037,0.9990716
0.7942156,0.774,1.2066256,1.1208473
0.8735875,0.274,3.105375,2.7025182
0.7812156,0.942,1.045307,1.0275724
0.46109375,0.032,3.7446945,2.3458967
0.6484906,0.061,3.7095509,2.917185
0.46017814,0.748,1.000543,1.0002965
0.21534374,0.882,1.0000896,1.0000843
0.117725,0.059,0.9997655,0.99957347
0.7674406,0.54,1.7402484,1.4836898
0.5031094,0.972,0.999789,0.99977446
0.0718875,0.071,0.99980026,0.99953556
0.8274438,0.259,3.086351,2.65725
0.6725063,0.651,1.2047867,1.1130685
0.26907814,0.388,1.0002227,1.0001429
0.62630624,0.695,1.080718,1.0415361
0.90775,0.211,3.3827622,2.9940202
0.80255,0.133,3.5428433,3.0521252
0.41985938,0.209,2.0356708,1.4519802
0.3369875,0.829,1.0000367,1.0001041
0.864825,0.089,3.7356672,3.2670646
0.27018124,0.127,1.0802743,1.0112714
0.26585,0.749,1.0001005,1.0001171
0.6926594,0.472,1.7780776,1.492156
0.62850624,0.189,3.0191875,2.4072545
0.9445375,0.321,3.0455418,2.6767545
0.9517625,0.514,2.3174605,1.9955131
0.2793531,0.098,1.4857194,1.0584794
0.6064219,0.665,1.0858744,1.0438243
0.1833875,0.819,1.0000762,1.0000633
0.28625312,0.792,1.000088,1.0001252
0.53220624,0.092,3.4048626,2.4690907
0.4147781,0.986,0.99999684,0.99992514
0.5724844,0.104,3.395723,2.5695138
0.34860626,0.09,2.7615385,1.524013
0.21351562,0.699,1.0000542,1.0000657
0.62045,0.652,1.1183056,1.0615712
0.699875,0.374,2.243178,1.8454876
0.5399125,0.424,1.4392762,1.2301966
0.20965625,0.758,1.0000482,1.000064
0.6489844,0.085,3.5943263,2.8572776
0.29826564,0.122,1.5981894,1.1041616
0.26657814,0.159,1.0106839,1.0020839
0.5831031,0.702,1.0378549,1.0188183
0.07404062,0.642,1.0001439,1.0001086
0.18878438,0.971,1.0001473,1.0000988
0.8777281,0.825,1.2530198,1.1571058
0.5386875,0.23,2.4937022,1.8926215
0.2852,0.16,1.0995507,1.0179387
0.68785936,0.478,1.7387483,1.4628813
0.34965,0.105,2.5633476,1.4724041
0.5357937,0.045,3.7129443,2.6184726
0.8522125,0.331,2.8343797,2.4328873
0.8176719,0.423,2.3556645,1.9890225
0.5878375,0.657,1.071986,1.0361738
0.5487,0.58,1.0994985,1.0488489
0.168375,0.047,0.9984493,0.9990549
0.33147812,0.212,1.2703626,1.0747347
0.16375,0.938,1.0001537,1.000086
0.8211719,0.723,1.3454623,1.2128662
0.10628437,0.655,1.0000935,1.0000914
0.14460938,0.133,0.9999313,0.9998057
0.821625,0.657,1.507281,1.3245157
0.28113437,0.411,1.0002005,1.000132
0.08136562,0.208,0.99996525,0.9999659
0.54214686,0.467,1.3057017,1.1565719
0.30480936,0.205,1.0965487,1.0226928
0.7044875,0.53,1.5961019,1.3676862
0.34082812,0.248,1.1766489,1.053296
0.8626469,0.148,3.546575,3.1142294
0.4214125,0.474,1.0294043,1.0120919
0.27840313,0.886,1.0000702,1.0001162
0.15299375,0.376,1.0000921,1.0000325
0.8629063,0.705,1.471975,1.3043805
0.8484219,0.029,3.911317,3.3351004
0.11491875,0.073,0.99981385,0.999627
0.9455031,0.698,1.6704379,1.4611835
0.4366625,0.233,1.9568546,1.4382752
0.19215937,0.633,1.0000387,1.0000509
0.474425,0.676,1.0035819,1.001754
0.5342031,0.229,2.4827087,1.8789082
0.07443125,0.144,0.99988633,0.99983895
0.90980315,0.739,1.4844799,1.3187414
0.533,0.634,1.0367631,1.0176789
0.9357,0.594,1.983404,1.7077427
0.48566562,0.824,1.0002633,1.000103
0.0733125,0.727,1.0001215,1.0000796
0.73340315,0.92,1.0300688,1.0166484
0.7792969,0.757,1.2098838,1.1220447
0.6118719,0.398,1.823701,1.4948671
0.112678126,0.823,1.000122,1.0000677
0.7196531,0.546,1.5849903,1.3630586
0.8255531,0.21,3.2796626,2.8386045
0.5565781,0.754,1.0104148,1.0050185
0.23543437,0.986,1.0001014,1.0001122
0.11102188,0.926,1.0001521,1.0000689
0.5275125,0.838,1.0011153,1.0004076
0.77017814,0.152,3.435103,2.9267585
0.2827969,0.964,1.0000551,1.0001178
0.9118125,0.898,1.1970099,1.1280594
0.42676562,0.576,1.0041265,1.0019553
0.29675624,0.318,1.0004516,1.0003487
0.3042344,0.983,1.0000341,1.0001155
0.69867814,0.7,1.1708511,1.0944653
0.006975,0.768,1.0000033,0.9999536
0.9119656,0.374,2.7815518,2.4080358
0.734525,0.666,1.2954545,1.1729842
0.09321562,0.345,1.0001228,1.0001036
0.53171873,0.431,1.3843962,1.1975029
0.14410312,0.19,1.0000465,0.99991477
0.45708126,0.688,1.0014844,1.0007833
0.56865937,0.893,1.0013722,1.0004486
0.9042063,0.206,3.3955157,3.0042648
0.2602875,0.045,1.7186286,1.0397675
0.91055626,0.588,1.9433712,1.6703209
0.58045936,0.879,1.0026063,1.0010103
0.25195,0.495,1.0003717,1.0001754
0.77905,0.903,1.0623876,1.0355583
0.38664374,0.693,1.0000134,1.0000654
0.87009686,0.646,1.6526668,1.436997
0.052496877,0.77,1.0000973,1.0000478
0.023896875,0.262,1.0002264,1.0000039
0.95607185,0.567,2.1292105,1.8335867
0.68219376,0.386,2.1283147,1.7472997
0.30955625,0.546,1.0000708,1.0000963
0.46715313,0.279,1.8191613,1.4008155
0.4945906,0.971,0.999821,0.99977946
0.22500312,0.913,1.0000947,1.0000942
0.03591875,0.811,1.0000544,1.000009
0.48319688,0.196,2.502245,1.8084968
0.6902437,0.695,1.1650497,1.0906938
0.44315624,0.02,3.8305657,2.2807443
0.3841,0.708,0.9999727,1.0000492
0.44604063,0.139,2.8042006,1.8903861
0.12538438,0.589,1.0000514,1.0000813
0.74691874,0.103,3.605958,3.030754
0.26675624,0.447,1.0003054,1.0001665
0.41478124,0.298,1.4039793,1.1660542
0.7092094,0.138,3.4177756,2.8369517
0.6320094,0.392,1.926303,1.574804
0.1558,0.01,0.99860907,0.99894977
0.71251565,0.504,1.7140393,1.4519174
0.09795625,0.945,1.0001475,1.0000626
0.11436875,0.223,1.0000076,0.9999789
0.31944376,0.983,1.0000243,1.0001084
0.47967812,0.585,1.0223707,1.010195
0.89074063,0.713,1.5104672,1.3351603
0.6482281,0.286,2.5357246,2.0438337
0.34482813,0.663,0.99993986,1.0000616
0.94904375,0.381,2.8275046,2.465126
0.10993125,0.32,1.0000808,1.0000684
