t,x,ts
0.0,0.02,2.8207016
0.010012516,0.02,3.2199075
0.020025032,0.02,3.4607718
0.030037548,0.02,3.4671645
0.040050063,0.02,3.5105424
0.05006258,0.02,3.4954207
0.060075097,0.02,3.5041435
0.07008761,0.02,3.5382953
0.08010013,0.02,3.571786
0.09011264,0.02,3.592153
0.10012516,0.02,3.6007302
0.11013767,0.02,3.6024795
0.12015019,0.02,3.6018145
0.1301627,0.02,3.6020668
0.14017522,0.02,3.6053867
0.15018773,0.02,3.6124737
0.16020025,0.02,3.6224887
0.17021278,0.02,3.6334693
0.18022528,0.02,3.6431968
0.1902378,0.02,3.6500995
0.20025031,0.02,3.6536791
0.21026284,0.02,3.6543558
0.22027534,0.02,3.653013
0.23028786,0.02,3.650597
0.24030039,0.02,3.6478765
0.2503129,0.02,3.6453881
0.26032543,0.02,3.643465
0.27033794,0.02,3.6422625
0.28035045,0.02,3.6418228
0.29036295,0.02,3.6421182
0.3003755,0.02,3.6430712
0.310388,0.02,3.6445904
0.3204005,0.02,3.6465638
0.330413,0.02,3.648886
0.34042555,0.02,3.6514575
0.35043806,0.02,3.6541808
0.36045057,0.02,3.6569774
0.37046307,0.02,3.6597688
0.3804756,0.02,3.6624978
0.39048812,0.02,3.6651094
0.40050063,0.02,3.667566
0.41051313,0.02,3.669836
0.42052567,0.02,3.6718962
0.43053818,0.02,3.6737375
0.44055068,0.02,3.6753497
0.4505632,0.02,3.6767344
0.46057573,0.02,3.6778975
0.47058824,0.02,3.6788497
0.48060077,0.02,3.6796038
0.49061328,0.02,3.680175
0.5006258,0.02,3.6805823
0.5106383,0.02,3.6808438
0.52065086,0.02,3.6809788
0.5306634,0.02,3.6810117
0.5406759,0.02,3.6809564
0.5506884,0.02,3.6808367
0.5607009,0.02,3.680666
0.5707134,0.02,3.6804636
0.5807259,0.02,3.6802392
0.5907384,0.02,3.6800058
0.600751,0.02,3.6797733
0.6107635,0.02,3.6795413
0.620776,0.02,3.6793113
0.6307885,0.02,3.6790845
0.640801,0.02,3.6788435
0.6508135,0.02,3.6785812
0.660826,0.02,3.678276
0.67083853,0.02,3.6779022
0.6808511,0.02,3.6774352
0.6908636,0.02,3.6768436
0.7008761,0.02,3.6761
0.7108886,0.02,3.6751788
0.72090113,0.02,3.6740696
0.73091364,0.02,3.6727738
0.74092615,0.02,3.6713188
0.75093865,0.02,3.6697743
0.7609512,0.02,3.6682446
0.7709637,0.02,3.6668847
0.78097624,0.02,3.6658936
0.79098874,0.02,3.6655135
0.80100125,0.02,3.6659818
0.81101376,0.02,3.6675386
0.82102627,0.02,3.6703634
0.8310388,0.02,3.6745567
0.84105134,0.02,3.6801295
0.85106385,0.02,3.6870177
0.86107635,0.02,3.6950912
0.87108886,0.02,3.7042458
0.88110137,0.02,3.714393
0.8911139,0.02,3.7254922
0.9011264,0.02,3.737505
0.9111389,0.02,3.7502782
0.92115146,0.02,3.7634037
0.93116397,0.02,3.7760034
0.9411765,0.02,3.7865038
0.951189,0.02,3.792398
0.96120155,0.02,3.7900257
0.97121406,0.02,3.7744644
0.98122656,0.02,3.7398162
0.9912391,0.02,3.680398
1.0012516,0.02,3.5932987
1.0112641,0.02,3.4816973
1.0212766,0.02,3.3558164
1.0312891,0.02,3.2286787
1.0413016,0.02,3.1094267
1.0513141,0.02,3.0006876
1.0613266,0.02,2.900952
1.0713391,0.02,2.8080754
1.0813516,0.02,2.7210002
1.0913641,0.02,2.639752
1.1013767,0.02,2.564724
1.1113892,0.02,2.49575
1.1214018,0.02,2.4311645
1.1314143,0.02,2.3671582
1.1414268,0.02,2.2982972
1.1514393,0.02,2.2208183
1.1614518,0.02,2.1381822
1.1714643,0.02,2.0630317
1.1814768,0.02,2.0092373
1.1914895,0.02,1.9801365
1.2015018,0.02,1.9653016
1.2115144,0.02,1.9473829
1.2215269,0.02,1.912552
1.2315394,0.02,1.8591807
1.2415519,0.02,1.7984039
1.2515644,0.02,1.7444577
1.2615769,0.02,1.7046609
1.2715895,0.02,1.6781152
1.281602,0.02,1.6601547
1.2916145,0.02,1.6461679
1.301627,0.02,1.633042
1.3116395,0.02,1.6191291
1.321652,0.02,1.6037991
1.3316646,0.02,1.5870042
1.3416771,0.02,1.568987
1.3516896,0.02,1.5501034
1.3617022,0.02,1.5307186
1.3717147,0.02,1.5111645
1.3817272,0.02,1.4917254
1.3917397,0.02,1.4726175
1.4017522,0.02,1.4540106
1.4117647,0.02,1.4360147
1.4217772,0.02,1.4187158
1.4317899,0.02,1.4021516
1.4418023,0.02,1.386359
1.4518148,0.02,1.3713322
1.4618273,0.02,1.357064
1.4718398,0.02,1.3435433
1.4818523,0.02,1.3307441
1.4918648,0.02,1.3186377
1.5018773,0.02,1.3072034
1.5118899,0.02,1.2963997
1.5219024,0.02,1.2862053
1.531915,0.02,1.2765858
1.5419275,0.02,1.2675155
1.55194,0.02,1.2589593
1.5619525,0.02,1.2508928
1.571965,0.02,1.2432883
1.5819775,0.02,1.2361196
1.59199,0.02,1.2293618
1.6020025,0.02,1.2229888
1.612015,0.02,1.216979
1.6220275,0.02,1.2113091
1.63204,0.02,1.205957
1.6420525,0.02,1.2009013
1.652065,0.02,1.1961234
1.6620775,0.02,1.1915996
1.67209,0.02,1.1873155
1.6821027,0.02,1.183252
1.6921152,0.02,1.1793885
1.7021277,0.02,1.1757096
1.7121402,0.02,1.1722047
1.7221527,0.02,1.1688465
1.7321652,0.02,1.1656258
1.7421777,0.02,1.1625276
1.7521904,0.02,1.1595342
1.7622027,0.02,1.1566333
1.7722152,0.02,1.1538101
1.7822278,0.02,1.1510521
1.7922403,0.02,1.148343
1.8022528,0.02,1.1456699
1.8122653,0.02,1.1430246
1.8222778,0.02,1.140387
1.8322904,0.02,1.1377509
1.8423029,0.02,1.1351001
1.8523154,0.02,1.1324257
1.8623279,0.02,1.1297113
1.8723404,0.02,1.1269541
1.882353,0.02,1.1241318
1.8923655,0.02,1.1212404
1.902378,0.02,1.1182669
1.9123905,0.02,1.1151993
1.9224031,0.02,1.1120274
1.9324156,0.02,1.1087421
1.9424281,0.02,1.1053311
1.9524406,0.02,1.1017848
1.9624531,0.02,1.098095
1.9724656,0.02,1.0942492
1.9824781,0.02,1.0902418
1.9924908,0.02,1.0860581
2.0025032,0.02,1.0816945
2.0125158,0.02,1.0771388
2.0225282,0.02,1.072386
2.0325408,0.02,1.0674268
2.0425532,0.02,1.0622532
2.0525658,0.02,1.0568613
2.0625782,0.02,1.0512426
2.0725908,0.02,1.0453945
2.0826032,0.02,1.0393071
2.0926158,0.02,1.0329851
2.1026282,0.02,1.0264161
2.1126409,0.02,1.0196038
2.1226532,0.02,1.0125488
2.1326659,0.02,1.0052487
2.1426783,0.02,0.9977049
2.152691,0.02,0.98992026
2.1627035,0.02,0.98190093
2.1727161,0.02,0.97365
