t,x,ts
0.0,0.02,3.0444002
0.010012516,0.02,3.6401472
0.020025032,0.02,3.637635
0.030037548,0.02,3.5093377
0.040050063,0.02,3.6655087
0.05006258,0.02,3.7306614
0.060075097,0.02,3.6779423
0.07008761,0.02,3.6437042
0.08010013,0.02,3.6390965
0.09011264,0.02,3.651429
0.10012516,0.02,3.6705456
0.11013767,0.02,3.690139
0.12015019,0.02,3.707349
0.1301627,0.02,3.7216904
0.14017522,0.02,3.7333248
0.15018773,0.02,3.7417045
0.16020025,0.02,3.745283
0.17021278,0.02,3.7422621
0.18022528,0.02,3.7317488
0.1902378,0.02,3.7144766
0.20025031,0.02,3.692625
0.21026284,0.02,3.6689918
0.22027534,0.02,3.6461186
0.23028786,0.02,3.6258066
0.24030039,0.02,3.6090693
0.2503129,0.02,3.596283
0.26032543,0.02,3.587403
0.27033794,0.02,3.5821247
0.28035045,0.02,3.580008
0.29036295,0.02,3.580547
0.3003755,0.02,3.5832126
0.310388,0.02,3.5875025
0.3204005,0.02,3.5929563
0.330413,0.02,3.5991673
0.34042555,0.02,3.6058164
0.35043806,0.02,3.6126482
0.36045057,0.02,3.6194906
0.37046307,0.02,3.6262364
0.3804756,0.02,3.632842
0.39048812,0.02,3.6393082
0.40050063,0.02,3.6456819
0.41051313,0.02,3.6520324
0.42052567,0.02,3.658445
0.43053818,0.02,3.665016
0.44055068,0.02,3.6718442
0.4505632,0.02,3.6790261
0.46057573,0.02,3.6866505
0.47058824,0.02,3.6947992
0.48060077,0.02,3.7035556
0.49061328,0.02,3.7129772
0.5006258,0.02,3.7231238
0.5106383,0.02,3.7340271
0.52065086,0.02,3.7457213
0.5306634,0.02,3.758196
0.5406759,0.02,3.7714257
0.5506884,0.02,3.785339
0.5607009,0.02,3.799825
0.5707134,0.02,3.814701
0.5807259,0.02,3.8297284
0.5907384,0.02,3.8445923
0.600751,0.02,3.8589022
0.6107635,0.02,3.872205
0.620776,0.02,3.8839965
0.6307885,0.02,3.8937428
0.640801,0.02,3.900935
0.6508135,0.02,3.9051113
0.660826,0.02,3.9059172
0.67083853,0.02,3.9031277
0.6808511,0.02,3.8966854
0.6908636,0.02,3.8867047
0.7008761,0.02,3.8734503
0.7108886,0.02,3.8573139
0.72090113,0.02,3.8387773
0.73091364,0.02,3.8183649
0.74092615,0.02,3.7965925
0.75093865,0.02,3.7739503
0.7609512,0.02,3.7508543
0.7709637,0.02,3.7276564
0.78097624,0.02,3.7046428
0.79098874,0.02,3.6820378
0.80100125,0.02,3.6600394
0.81101376,0.02,3.6388469
