t,tf0,ts0
520392.6,872.7989,802.15375
522870.66,872.48975,845.44324
525348.72,872.57117,861.3184
527826.78,872.5089,868.10864
530304.84,872.42285,870.6191
532782.9,872.3845,871.9868
535260.96,872.34485,872.16895
537739.02,872.3801,872.5494
540217.08,872.34076,872.639
542695.14,872.49927,872.962
545173.2,872.5392,873.19025
547651.26,872.5027,873.1824
550129.32,872.429,872.86426
552607.38,872.2761,872.6874
555085.44,872.0948,872.5024
557563.5,872.05615,872.32904
560041.5599999999,872.0786,872.2795
562519.62,871.999,872.0511
564997.6799999999,870.47485,871.6444
567475.74,865.86475,869.17053
569953.7999999999,856.94836,863.4906
572431.86,843.0181,853.4846
574909.9199999999,823.807,838.66284
577387.98,799.7427,819.02075
579866.0399999999,771.68634,794.67444
582344.1,740.91565,767.2082
584822.16,740.2778,745.9385
587300.22,741.37,742.45245
589778.28,740.2457,741.81
592256.34,739.36743,740.65576
594734.4,738.59436,740.01086
597212.46,737.944,739.81946
599690.52,737.5029,738.93744
602168.58,737.1938,738.8741
