t,tf0,ts0
520392.6,873.69086,803.8288
522870.66,873.6325,847.2306
525348.72,873.3453,863.3026
527826.78,872.9552,869.2491
530304.84,872.86615,871.4003
532782.9,872.8949,872.60333
535260.96,873.06287,873.01996
537739.02,873.281,873.29004
540217.08,873.5016,873.6954
542695.14,873.6827,874.27515
545173.2,873.5699,873.68085
547651.26,873.29596,873.3959
550129.32,873.1554,873.44556
552607.38,872.8624,873.5215
555085.44,872.6759,873.5109
557563.5,872.7743,873.5072
560041.5599999999,873.00757,873.64606
562519.62,873.2565,873.5875
564997.6799999999,871.91724,872.90814
567475.74,867.50977,870.42444
569953.7999999999,858.7619,864.72784
572431.86,844.75104,854.5161
574909.9199999999,825.1253,839.18
577387.98,800.7151,818.74304
579866.0399999999,772.8457,794.041
582344.1,741.7476,765.8635
584822.16,740.6847,745.1709
587300.22,741.80676,742.4136
589778.28,740.8458,741.13513
592256.34,739.983,740.3644
594734.4,739.2896,739.41754
597212.46,738.8324,738.6672
599690.52,737.95233,738.16
602168.58,737.36017,738.4607
