t,tf0,ts0
520392.6,872.62256,802.3863
522870.66,872.9125,844.4596
525348.72,872.8004,862.32465
527826.78,872.87915,869.7283
530304.84,872.9173,871.94336
532782.9,873.01135,873.1141
535260.96,873.10657,873.28265
537739.02,873.03455,873.6401
540217.08,872.3369,874.0285
542695.14,872.9086,873.7834
545173.2,872.80994,874.0653
547651.26,872.7291,874.0181
550129.32,872.8397,873.9665
552607.38,872.8291,873.83655
555085.44,872.7091,873.74896
557563.5,872.5679,873.7111
560041.5599999999,872.33704,873.8975
562519.62,872.70386,874.1548
564997.6799999999,870.81726,873.883
567475.74,866.3031,871.5903
569953.7999999999,857.3678,865.421
572431.86,843.3457,854.5302
574909.9199999999,824.43933,839.20703
577387.98,801.1024,819.41003
579866.0399999999,773.76074,795.1378
582344.1,743.277,767.59094
584822.16,741.536,745.6792
587300.22,742.25055,742.4018
589778.28,741.5717,741.6212
592256.34,740.7389,740.85425
594734.4,739.9266,740.2202
597212.46,739.3435,739.75916
599690.52,738.9447,739.2564
602168.58,738.646,739.58325
