t,x,Ts
0.0,0.02,3.214618
0.010012516,0.02,3.6866448
0.020025032,0.02,3.6797786
0.030037548,0.02,3.554552
0.040050063,0.02,3.4348416
0.05006258,0.02,3.379672
0.060075097,0.02,3.3871782
0.07008761,0.02,3.423175
0.08010013,0.02,3.4400873
0.09011264,0.02,3.4277065
0.10012516,0.02,3.431709
0.11013767,0.02,3.4847138
0.12015019,0.02,3.561252
0.1301627,0.02,3.630849
0.14017522,0.02,3.6819563
0.15018773,0.02,3.7133663
0.16020025,0.02,3.7274323
0.17021278,0.02,3.7275681
0.18022528,0.02,3.717425
0.1902378,0.02,3.7006302
0.20025031,0.02,3.6806347
0.21026284,0.02,3.6604826
0.22027534,0.02,3.6425414
0.23028786,0.02,3.628338
0.24030039,0.02,3.618594
0.2503129,0.02,3.6134079
0.26032543,0.02,3.6124637
0.27033794,0.02,3.6152341
0.28035045,0.02,3.6211095
0.29036295,0.02,3.6294854
0.3003755,0.02,3.6398141
0.310388,0.02,3.6516294
0.3204005,0.02,3.6645427
0.330413,0.02,3.6782506
0.34042555,0.02,3.6925116
0.35043806,0.02,3.707143
0.36045057,0.02,3.7219963
0.37046307,0.02,3.736951
0.3804756,0.02,3.7518923
0.39048812,0.02,3.7667086
0.40050063,0.02,3.7812753
0.41051313,0.02,3.795458
0.42052567,0.02,3.8091066
0.43053818,0.02,3.8220546
0.44055068,0.02,3.8341327
0.4505632,0.02,3.8451679
0.46057573,0.02,3.854996
0.47058824,0.02,3.863481
0.48060077,0.02,3.870516
0.49061328,0.02,3.8760378
0.5006258,0.02,3.8800392
0.5106383,0.02,3.8825605
0.52065086,0.02,3.8837023
0.5306634,0.02,3.8835995
0.5406759,0.02,3.8824306
0.5506884,0.02,3.880392
0.5607009,0.02,3.877686
0.5707134,0.02,3.8745093
0.5807259,0.02,3.871041
0.5907384,0.02,3.8674397
0.600751,0.02,3.8638372
0.6107635,0.02,3.8603394
0.620776,0.02,3.8570306
0.6307885,0.02,3.8539777
0.640801,0.02,3.8512375
0.6508135,0.02,3.8488555
0.660826,0.02,3.8468757
0.67083853,0.02,3.8453443
0.6808511,0.02,3.8443031
0.6908636,0.02,3.843804
0.7008761,0.02,3.8438988
0.7108886,0.02,3.8446412
0.72090113,0.02,3.846082
0.73091364,0.02,3.8482656
0.74092615,0.02,3.8512042
0.75093865,0.02,3.854866
0.7609512,0.02,3.8591325
0.7709637,0.02,3.8637526
0.78097624,0.02,3.8682811
0.79098874,0.02,3.8720183
0.80100125,0.02,3.8740063
0.81101376,0.02,3.8731024
0.82102627,0.02,3.868241
0.8310388,0.02,3.8588266
0.84105134,0.02,3.8451107
0.85106385,0.02,3.8282945
0.86107635,0.02,3.8101687
0.87108886,0.02,3.792484
0.88110137,0.02,3.77641
0.8911139,0.02,3.7623122
0.9011264,0.02,3.749811
0.9111389,0.02,3.7379742
0.92115146,0.02,3.725457
0.93116397,0.02,3.71058
0.9411765,0.02,3.6913278
0.951189,0.02,3.6653163
0.96120155,0.02,3.6297252
0.97121406,0.02,3.581181
0.98122656,0.02,3.5156593
0.9912391,0.02,3.4289625
1.0012516,0.02,3.31857
1.0112641,0.02,3.18675
1.0212766,0.02,3.0423403
1.0312891,0.02,2.898022
1.0413016,0.02,2.764689
1.0513141,0.02,2.6479013
1.0613266,0.02,2.5482528
1.0713391,0.02,2.4636247
1.0813516,0.02,2.3910832
1.0913641,0.02,2.3278983
1.1013767,0.02,2.2718797
1.1113892,0.02,2.2213862
1.1214018,0.02,2.1752343
1.1314143,0.02,2.132575
1.1414268,0.02,2.0928035
1.1514393,0.02,2.0554812
1.1614518,0.02,2.020282
1.1714643,0.02,1.986963
1.1814768,0.02,1.955332
1.1914895,0.02,1.9252346
1.2015018,0.02,1.8965441
1.2115144,0.02,1.869148
1.2215269,0.02,1.8429548
1.2315394,0.02,1.8178768
1.2415519,0.02,1.7938409
1.2515644,0.02,1.7707775
1.2615769,0.02,1.7486246
1.2715895,0.02,1.7273248
1.281602,0.02,1.7068253
1.2916145,0.02,1.6870791
1.301627,0.02,1.6680412
1.3116395,0.02,1.64967
1.321652,0.02,1.6319289
1.3316646,0.02,1.6147823
1.3416771,0.02,1.5981996
1.3516896,0.02,1.5821487
1.3617022,0.02,1.5666022
1.3717147,0.02,1.5515349
1.3817272,0.02,1.5369222
1.3917397,0.02,1.522741
1.4017522,0.02,1.5089725
1.4117647,0.02,1.4955959
1.4217772,0.02,1.4825912
1.4317899,0.02,1.4699434
1.4418023,0.02,1.4576346
1.4518148,0.02,1.4456501
1.4618273,0.02,1.4339745
1.4718398,0.02,1.4225951
1.4818523,0.02,1.4114987
1.4918648,0.02,1.400673
1.5018773,0.02,1.3901047
1.5118899,0.02,1.3797846
1.5219024,0.02,1.369701
1.531915,0.02,1.3598431
1.5419275,0.02,1.3502034
1.55194,0.02,1.3407705
1.5619525,0.02,1.3315363
1.571965,0.02,1.3224932
1.5819775,0.02,1.3136305
1.59199,0.02,1.3049437
1.6020025,0.02,1.2964224
1.612015,0.02,1.288061
1.6220275,0.02,1.2798524
1.63204,0.02,1.2717898
