t,x,tf,ts
0.6240625,0.895,1.0054199,1.002495
0.7835125,0.778,1.1940757,1.112026
0.39810625,0.469,1.011437,1.0043772
0.41590625,0.948,0.9999672,0.99998343
0.94975,0.457,2.6320877,2.2693644
0.4155844,0.479,1.0196879,1.0079495
0.7788031,0.993,1.033308,1.0218976
0.2395625,0.723,1.0000162,1.0000596
0.34712186,0.067,3.144121,1.7264065
0.27600312,0.428,1.000157,0.99992585
0.7563844,0.833,1.096452,1.0529356
0.8521375,0.145,3.6597507,3.3102684
0.010440625,0.428,0.9997932,1.0001813
0.76192814,0.558,1.7000085,1.4501939
0.78310627,0.866,1.0939307,1.0528324
0.7272969,0.916,1.0295146,1.01582
0.33194062,0.864,0.99999225,1.0000324
0.09474687,0.245,0.9999056,1.0000049
0.7635375,0.671,1.3621372,1.217547
0.30922812,0.423,0.99995625,0.9997536
0.5528125,0.908,1.0005432,1.0001173
0.3321875,0.062,3.1185417,1.6140237
0.33334374,0.416,0.99990535,0.99966335
0.1943375,0.477,1.0000187,1.0000489
0.62570935,0.292,2.5144792,2.0224473
0.5650906,0.054,3.7560833,3.1085892
0.47165,0.67,1.0030174,1.0013194
0.10005,0.987,0.9999913,1.0001112
0.19085938,0.363,1.0000188,0.9999955
0.62282187,0.675,1.0989957,1.0509106
0.74158126,0.764,1.1529875,1.0852934
0.6104031,0.299,2.414591,1.9311343
0.8722344,0.355,2.8895512,2.4888525
0.17785938,0.646,1.000005,1.000076
0.9010625,0.996,1.1188809,1.0866781
0.8485906,0.264,3.227946,2.8212252
0.7830125,0.141,3.6098893,3.2081413
0.13966562,0.86,0.99999166,1.0000966
0.73228127,0.03,3.9255354,3.5604548
0.21408124,0.047,1.0020227,0.96232104
0.7942156,0.774,1.2167667,1.1266744
0.8735875,0.274,3.230006,2.8347418
0.7812156,0.942,1.0468853,1.0280527
0.46109375,0.032,3.788127,2.8189254
0.6484906,0.061,3.7901802,3.290371
0.46017814,0.748,1.000203,1.0000948
0.21534374,0.882,0.9999976,1.0000796
0.117725,0.059,1.0003133,0.99846417
0.7674406,0.54,1.7842185,1.5127918
0.5031094,0.972,0.9999727,0.99994177
0.0718875,0.071,1.0000219,0.9995144
0.8274438,0.259,3.2116947,2.7939017
0.6725063,0.651,1.2137256,1.1179347
0.26907814,0.388,1.0001773,0.999884
0.62630624,0.695,1.0834731,1.0426842
0.90775,0.211,3.5048563,3.153351
0.80255,0.133,3.6556344,3.2756991
0.41985938,0.209,2.0764408,1.4946854
0.3369875,0.829,0.99999714,1.0000191
0.864825,0.089,3.8210618,3.5216486
0.27018124,0.127,1.0463841,0.9782218
0.26585,0.749,1.0000144,1.0000497
0.6926594,0.472,1.8222728,1.522252
0.62850624,0.189,3.133833,2.5710983
0.9445375,0.321,3.1663458,2.7954445
0.9517625,0.514,2.402853,2.0614161
0.2793531,0.098,1.4391857,1.033609
0.6064219,0.665,1.0885675,1.0449191
0.1833875,0.819,1.0000001,1.0000837
0.28625312,0.792,1.000007,1.0000454
0.53220624,0.092,3.4970288,2.76946
0.4147781,0.986,0.99997497,0.9999992
0.5724844,0.104,3.498185,2.8517156
0.34860626,0.09,2.833997,1.6146184
0.21351562,0.699,1.0000144,1.0000684
0.62045,0.652,1.1223878,1.0634786
0.699875,0.374,2.3205538,1.9071306
0.5399125,0.424,1.4583238,1.2420702
0.20965625,0.758,1.0000076,1.0000732
0.6489844,0.085,3.6926496,3.1772716
0.29826564,0.122,1.5863492,1.0996481
0.26657814,0.159,0.9982176,0.98370165
0.5831031,0.702,1.0388008,1.0189811
0.07404062,0.642,0.9999168,1.0001074
0.18878438,0.971,0.99999666,1.0000918
0.8777281,0.825,1.2662492,1.164946
0.5386875,0.23,2.5692782,1.9842027
0.2852,0.16,1.0767633,0.99771225
0.68785936,0.478,1.7800951,1.490737
0.34965,0.105,2.6342127,1.5444652
0.5357937,0.045,3.7767968,3.0620923
0.8522125,0.331,2.9507082,2.5406942
0.8176719,0.423,2.4443853,2.0585976
0.5878375,0.657,1.0739965,1.0368872
0.5487,0.58,1.1017921,1.0498034
0.168375,0.047,1.0014473,0.9925404
0.33147812,0.212,1.2668763,1.0704067
0.16375,0.938,0.9999956,1.0000945
0.8211719,0.723,1.3642218,1.2241348
0.10628437,0.655,0.999956,1.0000907
0.14460938,0.133,1.0000652,0.99929225
0.821625,0.657,1.5365031,1.3428234
0.28113437,0.411,1.0001627,0.9998789
0.08136562,0.208,0.99991477,0.9999705
0.54214686,0.467,1.317758,1.1633316
0.30480936,0.205,1.0841107,1.0118871
0.7044875,0.53,1.6285623,1.3884902
0.34082812,0.248,1.1723695,1.049082
0.8626469,0.148,3.6592934,3.3153179
0.4214125,0.474,1.0273229,1.0111797
0.27840313,0.886,0.9999943,1.000063
0.15299375,0.376,0.99997187,1.0000199
0.8629063,0.705,1.4993858,1.3216125
0.8484219,0.029,3.9471843,3.685704
0.11491875,0.073,1.0001984,0.9988936
0.9455031,0.698,1.7120607,1.4893652
0.4366625,0.233,1.9948634,1.4763736
0.19215937,0.633,1.0000118,1.0000716
0.474425,0.676,1.0029769,1.0013032
0.5342031,0.229,2.556866,1.9692967
0.07443125,0.144,0.9999502,0.9998446
0.90980315,0.739,1.513217,1.3371474
0.533,0.634,1.0370651,1.0176153
0.9357,0.594,2.046475,1.7530136
0.48566562,0.824,1.0001094,1.0000352
0.0733125,0.727,0.99993765,1.0001069
0.73340315,0.92,1.0308863,1.0167673
0.7792969,0.757,1.2201946,1.1279337
0.6118719,0.398,1.8670367,1.5266936
0.112678126,0.823,0.99998045,1.0001014
0.7196531,0.546,1.6171489,1.3835478
0.8255531,0.21,3.4059827,3.0017474
0.5565781,0.754,1.010027,1.0047381
0.23543437,0.986,0.99999523,1.0000851
0.11102188,0.926,0.99998736,1.0001065
0.5275125,0.838,1.0008442,1.0002922
0.77017814,0.152,3.5558228,3.1363266
0.2827969,0.964,0.99998975,1.0000722
0.9118125,0.898,1.2072266,1.1340955
0.42676562,0.576,1.0033299,1.0013686
0.29675624,0.318,0.9989637,0.9985609
0.3042344,0.983,0.99998915,1.0000688
0.69867814,0.7,1.1784571,1.0985708
0.006975,0.768,0.999864,1.0001594
0.9119656,0.374,2.893996,2.5076764
0.734525,0.666,1.3102573,1.1815627
0.09321562,0.345,0.99988365,1.0000776
0.53171873,0.431,1.400421,1.2070805
0.14410312,0.19,0.99998486,0.9997405
0.45708126,0.688,1.0009707,1.0004199
0.56865937,0.893,1.001229,1.0004095
0.9042063,0.206,3.5172517,3.1661806
0.2602875,0.045,1.6192656,0.9657031
0.91055626,0.588,2.0036194,1.7129364
0.58045936,0.879,1.0022547,1.0008994
0.25195,0.495,1.0000781,1.0000144
0.77905,0.903,1.0646807,1.0367035
0.38664374,0.693,0.9999852,0.9999371
0.87009686,0.646,1.6923741,1.4630781
0.052496877,0.77,0.9999262,1.0001179
0.023896875,0.262,0.9998636,1.0000598
0.95607185,0.567,2.2021992,1.8877491
0.68219376,0.386,2.1965482,1.8000835
0.30955625,0.546,1.0000885,0.99994487
0.46715313,0.279,1.8530234,1.4309529
0.4945906,0.971,0.9999615,0.999939
0.22500312,0.913,0.99999547,1.00008
0.03591875,0.811,0.9999194,1.000127
0.48319688,0.196,2.5672884,1.9023867
0.6902437,0.695,1.172259,1.0945481
0.44315624,0.02,3.859063,2.7975128
0.3841,0.708,0.99998856,0.99993706
0.44604063,0.139,2.8710732,2.029769
0.12538438,0.589,0.99996436,1.0000794
0.74691874,0.103,3.7098727,3.2999778
0.26675624,0.447,1.0001297,0.9999676
0.41478124,0.298,1.4175541,1.1737676
0.7092094,0.138,3.5370934,3.0663652
0.6320094,0.392,1.9774643,1.6131895
0.1558,0.01,1.0009245,0.9913102
0.71251565,0.504,1.7545829,1.4787971
0.09795625,0.945,0.9999851,1.0001106
0.11436875,0.223,0.99993443,0.99993825
0.31944376,0.983,0.9999875,1.0000632
0.47967812,0.585,1.0215737,1.0097506
0.89074063,0.713,1.5407538,1.3545595
0.6482281,0.286,2.629067,2.1342416
0.34482813,0.663,1.000031,0.99995065
0.94904375,0.381,2.9407997,2.5663638
0.10993125,0.32,0.9999083,1.0000428
0.8248625,0.017,3.967727,3.6994944
0.94948125,0.869,1.3067567,1.2020901
0.546725,0.948,1.0002009,0.9999929
0.7048,0.698,1.1918194,1.1067717
0.22241563,0.005,1.0122048,0.8852457
0.16214688,0.379,0.9999833,1.0000167
0.79780936,0.771,1.2273973,1.1335404
0.27048126,0.949,0.99999106,1.0000737
0.66192186,0.372,2.1964314,1.7907137
0.87855935,0.125,3.7363195,3.4192727
0.88411564,0.499,2.2909417,1.946273
0.30265313,0.238,1.0197127,0.999728
0.15735,0.591,0.99999094,1.0000745
0.23801562,0.281,1.0001293,0.99962157
0.82769686,0.41,2.5322142,2.1395295
0.16788438,0.301,0.9999896,0.99994564
0.6796687,0.9,1.0164192,1.0081767
0.66630936,0.251,2.8853648,2.3737528
0.55574685,0.855,1.0016533,1.000625
0.031365626,0.416,0.9998077,1.0001675
0.9491,0.969,1.181736,1.132383
0.10648125,0.952,0.99998856,1.0001087
0.46907812,0.25,2.0688953,1.5590363
0.6698125,0.427,1.9467497,1.6055534
0.9013375,0.717,1.553719,1.365285
0.74015,0.84,1.0760372,1.0408931
0.22305937,0.232,1.0000638,0.99927163
0.39756563,0.062,3.417713,2.194606
0.1452,0.496,0.9999733,1.0000604
0.297875,0.627,1.0000515,0.99999595
0.7816188,0.334,2.7693489,2.336155
0.3408125,0.64,1.0000387,0.99994606
0.102390625,0.09,1.0000803,0.9993679
0.108625,0.754,0.99997187,1.0000978
0.85420626,0.612,1.7656982,1.515638
0.38711563,0.635,0.9999826,0.99995375
0.29645938,0.951,0.9999888,1.0000659
0.16205625,0.949,0.99999595,1.0000955
0.39565313,0.828,0.99997497,0.999959
0.40058124,0.301,1.3185313,1.1251152
0.171225,0.344,0.99999404,0.99998844
0.22836563,0.282,1.0000937,0.99973685
0.81301564,0.163,3.5636048,3.1733437
0.49112812,0.95,0.9999528,0.99993855
0.47385937,0.28,1.8855712,1.4556162
0.3158219,0.39,0.9996067,0.99947125
0.58980936,0.364,1.9529155,1.5762678
0.123315625,0.565,0.99995875,1.0000771
0.87333125,0.542,2.0831852,1.7696303
0.51624376,0.612,1.0355456,1.0166665
0.067865625,0.639,0.9999075,1.000113
0.45482188,0.946,0.99994755,0.9999449
0.480125,0.791,1.0002246,1.0000913
0.7423375,0.417,2.2453048,1.8634558
0.6534375,0.933,1.0060022,1.0029936
0.8969531,0.668,1.6889272,1.464572
0.36150625,0.029,3.6824355,2.0879734
0.68282187,0.772,1.076414,1.0398705
0.24235937,0.536,1.000054,1.0000349
0.7216719,0.832,1.0664748,1.0351053
0.3302844,0.812,1.000001,1.0000197
0.43728438,0.381,1.2039591,1.087339
0.7785,0.095,3.7585182,3.3850286
0.91590625,0.11,3.7948713,3.5126696
0.57039374,0.385,1.7597703,1.4375277
0.11818125,0.368,0.9999224,1.00005
0.15195,0.613,0.9999888,1.0000778
0.2038375,0.458,1.0000294,1.0000412
0.006190625,0.528,0.9997798,1.0002092
0.24265938,0.481,1.0000715,1.0000213
0.22856562,0.248,1.0000838,0.999401
0.41698125,0.829,0.9999584,0.99994206
0.08230625,0.872,0.99997044,1.0001112
0.79638124,0.016,3.9673543,3.6771681
0.6008437,0.803,1.0133685,1.0063789
0.03535625,0.923,0.99994886,1.0001283
0.26955312,0.007,3.67908,1.1283406
0.5889469,0.935,1.0010773,1.0003513
