t,x,tf,ts
0.6240625,0.895,1.0063806,1.0023985
0.7835125,0.778,1.2014401,1.1165597
0.39810625,0.469,1.0152473,1.0066582
0.41590625,0.948,0.99947554,0.9998307
0.94975,0.457,2.6250482,2.267459
0.4155844,0.479,1.024334,1.0107995
0.7788031,0.993,1.035042,1.0247486
0.2395625,0.723,1.0000073,0.9999182
0.34712186,0.067,3.1848645,1.826889
0.27600312,0.428,0.99972457,0.9997792
0.7563844,0.833,1.1015918,1.0558178
0.8521375,0.145,3.639923,3.2779307
0.010440625,0.428,0.99994975,0.99980116
0.76192814,0.558,1.7108945,1.4593577
0.78310627,0.866,1.0988376,1.0561523
0.7272969,0.916,1.030915,1.0174314
0.33194062,0.864,0.9998749,0.99989617
0.09474687,0.245,1.0001249,0.9999033
0.7635375,0.671,1.372307,1.2243228
0.30922812,0.423,0.9998851,0.99974644
0.5528125,0.908,1.0003077,0.99967813
0.3321875,0.062,3.167439,1.741415
0.33334374,0.416,1.001338,1.0003257
0.1943375,0.477,1.0000803,0.99990964
0.62570935,0.292,2.5210407,2.029882
0.5650906,0.054,3.7452946,3.0250614
0.47165,0.67,1.0030313,1.0013336
0.10005,0.987,0.9999072,0.9998839
0.19085938,0.363,1.0001587,0.9999043
0.62282187,0.675,1.1052145,1.0540109
0.74158126,0.764,1.1597393,1.0889416
0.6104031,0.299,2.4248188,1.9415139
0.8722344,0.355,2.877916,2.482818
0.17785938,0.646,1.0000002,0.99991226
0.9010625,0.996,1.1249697,1.090216
0.8485906,0.264,3.210439,2.8061523
0.7830125,0.141,3.5890083,3.1728625
0.13966562,0.86,0.99993765,0.9998987
0.73228127,0.03,3.9146287,3.4848378
0.21408124,0.047,1.0046463,0.99789417
0.7942156,0.774,1.2244642,1.1315674
0.8735875,0.274,3.2126186,2.8201244
0.7812156,0.942,1.0492322,1.0308542
0.46109375,0.032,3.7863832,2.7192552
0.6484906,0.061,3.7745929,3.218909
0.46017814,0.748,0.99950635,0.99984336
0.21534374,0.882,0.9999576,0.99992585
0.117725,0.059,1.0007906,0.9998802
0.7674406,0.54,1.7943239,1.5218847
0.5031094,0.972,0.9996719,0.999791
0.0718875,0.071,1.0004991,0.9997438
0.8274438,0.259,3.194397,2.7788956
0.6725063,0.651,1.2232217,1.1235263
0.26907814,0.388,0.99979305,0.99977636
0.62630624,0.695,1.0887775,1.0451682
0.90775,0.211,3.4855518,3.131098
0.80255,0.133,3.6351144,3.2392333
0.41985938,0.209,2.1192353,1.5328218
0.3369875,0.829,0.9998201,0.9998801
0.864825,0.089,3.8055267,3.480462
0.27018124,0.127,1.0923102,1.0236205
0.26585,0.749,0.9999996,0.9999131
0.6926594,0.472,1.8357921,1.5342045
0.62850624,0.189,3.1243062,2.5551813
0.9445375,0.321,3.1505423,2.7834494
0.9517625,0.514,2.3999596,2.0625925
0.2793531,0.098,1.5066952,1.1209792
0.6064219,0.665,1.0945064,1.0479056
0.1833875,0.819,0.9999601,0.9999156
0.28625312,0.792,0.99997514,0.99991095
0.53220624,0.092,3.4891205,2.7185855
0.4147781,0.986,0.9995404,0.9998473
0.5724844,0.104,3.4862893,2.8043041
0.34860626,0.09,2.8861322,1.7104262
0.21351562,0.699,1.0000043,0.99991906
0.62045,0.652,1.1298527,1.0674379
0.699875,0.374,2.3261297,1.9150634
0.5399125,0.424,1.4804342,1.257097
0.20965625,0.758,0.9999849,0.99992096
0.6489844,0.085,3.675203,3.1186101
0.29826564,0.122,1.6515405,1.1769549
0.26657814,0.159,1.0182519,1.0045922
0.5831031,0.702,1.0413868,1.0200702
0.07404062,0.642,0.9999555,0.99986196
0.18878438,0.971,0.99993277,0.99991965
0.8777281,0.825,1.2736788,1.1708452
0.5386875,0.23,2.5834663,1.995257
0.2852,0.16,1.1114045,1.0329018
0.68785936,0.478,1.7942038,1.5028563
0.34965,0.105,2.6915238,1.6348059
0.5357937,0.045,3.768934,2.968935
0.8522125,0.331,2.937977,2.5332565
0.8176719,0.423,2.442655,2.0612092
0.5878375,0.657,1.0793452,1.0396
0.5487,0.58,1.1102222,1.0545187
0.168375,0.047,1.0015442,0.9996009
0.33147812,0.212,1.3028643,1.1027095
0.16375,0.938,0.9999308,0.99991
0.8211719,0.723,1.3733604,1.2304322
0.10628437,0.655,0.99996513,0.9998803
0.14460938,0.133,1.0004967,0.99996734
0.821625,0.657,1.5460285,1.3500262
0.28113437,0.411,0.99973327,0.99976003
0.08136562,0.208,1.000147,0.9998841
0.54214686,0.467,1.3362373,1.1751522
0.30480936,0.205,1.1081879,1.0356998
0.7044875,0.53,1.6422759,1.39934
0.34082812,0.248,1.1986955,1.0709409
0.8626469,0.148,3.6396577,3.283869
0.4214125,0.474,1.0328523,1.0145845
0.27840313,0.886,0.9999648,0.99992764
0.15299375,0.376,1.0000951,0.9999206
0.8629063,0.705,1.5080858,1.3282666
0.8484219,0.029,3.9399397,3.628752
0.11491875,0.073,1.0006684,0.9999026
0.9455031,0.698,1.7180967,1.4955665
0.4366625,0.233,2.0340962,1.509173
