t,x,ts
0.0,0.02,2.6253922
0.010012516,0.02,3.2520945
0.020025032,0.02,3.4200077
0.030037548,0.02,3.2992258
0.040050063,0.02,3.1141615
0.05006258,0.02,2.9715545
0.060075097,0.02,2.8865058
0.07008761,0.02,2.8548934
0.08010013,0.02,2.855714
0.09011264,0.02,2.8554265
0.10012516,0.02,2.84108
0.11013767,0.02,2.8414023
0.12015019,0.02,2.8962207
0.1301627,0.02,3.011354
0.14017522,0.02,3.1569512
0.15018773,0.02,3.2953434
0.16020025,0.02,3.405665
0.17021278,0.02,3.4858284
0.18022528,0.02,3.5420976
0.1902378,0.02,3.5814884
0.20025031,0.02,3.6092827
0.21026284,0.02,3.6289945
0.22027534,0.02,3.6428883
0.23028786,0.02,3.6524224
0.24030039,0.02,3.6585867
0.2503129,0.02,3.6620753
0.26032543,0.02,3.6634076
0.27033794,0.02,3.6629953
0.28035045,0.02,3.6611845
0.29036295,0.02,3.6582747
0.3003755,0.02,3.6545343
0.310388,0.02,3.650205
0.3204005,0.02,3.645501
0.330413,0.02,3.6406186
0.34042555,0.02,3.6357286
0.35043806,0.02,3.630978
0.36045057,0.02,3.6264942
0.37046307,0.02,3.6223736
0.3804756,0.02,3.6186948
0.39048812,0.02,3.6155188
0.40050063,0.02,3.6128783
0.41051313,0.02,3.6107962
0.42052567,0.02,3.6092744
0.43053818,0.02,3.6083033
0.44055068,0.02,3.6078622
0.4505632,0.02,3.6079185
0.46057573,0.02,3.6084356
0.47058824,0.02,3.6093695
0.48060077,0.02,3.6106696
0.49061328,0.02,3.6122906
0.5006258,0.02,3.6141756
0.5106383,0.02,3.6162791
0.52065086,0.02,3.6185477
0.5306634,0.02,3.6209414
0.5406759,0.02,3.6234078
0.5506884,0.02,3.6259158
0.5607009,0.02,3.6284225
0.5707134,0.02,3.6309006
0.5807259,0.02,3.633323
0.5907384,0.02,3.6356685
0.600751,0.02,3.6379175
0.6107635,0.02,3.6400583
0.620776,0.02,3.6420796
0.6307885,0.02,3.6439734
0.640801,0.02,3.645737
0.6508135,0.02,3.647368
0.660826,0.02,3.6488645
0.67083853,0.02,3.6502237
0.6808511,0.02,3.651446
0.6908636,0.02,3.6525285
0.7008761,0.02,3.6534638
0.7108886,0.02,3.6542444
0.72090113,0.02,3.6548545
0.73091364,0.02,3.6552744
0.74092615,0.02,3.6554756
0.75093865,0.02,3.6554236
0.7609512,0.02,3.6550696
0.7709637,0.02,3.6543517
0.78097624,0.02,3.6531978
0.79098874,0.02,3.6515136
0.80100125,0.02,3.6491911
0.81101376,0.02,3.6461017
0.82102627,0.02,3.6420872
0.8310388,0.02,3.6369777
0.84105134,0.02,3.630565
0.85106385,0.02,3.622623
0.86107635,0.02,3.6129005
0.87108886,0.02,3.601123
0.88110137,0.02,3.586996
0.8911139,0.02,3.5702093
0.9011264,0.02,3.5504496
0.9111389,0.02,3.5274072
0.92115146,0.02,3.5007823
0.93116397,0.02,3.4703124
0.9411765,0.02,3.4357855
0.951189,0.02,3.397049
0.96120155,0.02,3.354046
0.97121406,0.02,3.3068166
0.98122656,0.02,3.2555256
0.9912391,0.02,3.2004511
1.0012516,0.02,3.1420007
1.0112641,0.02,3.0806918
1.0212766,0.02,3.0171216
1.0312891,0.02,2.951946
1.0413016,0.02,2.885839
1.0513141,0.02,2.8194454
1.0613266,0.02,2.7533596
1.0713391,0.02,2.6880944
1.0813516,0.02,2.6240613
1.0913641,0.02,2.5615807
1.1013767,0.02,2.50087
1.1113892,0.02,2.4420707
1.1214018,0.02,2.3852541
1.1314143,0.02,2.3304498
1.1414268,0.02,2.277641
1.1514393,0.02,2.226804
1.1614518,0.02,2.1778882
1.1714643,0.02,2.1308484
1.1814768,0.02,2.085632
1.1914895,0.02,2.042185
1.2015018,0.02,2.00046
1.2115144,0.02,1.9604053
1.2215269,0.02,1.9219762
1.2315394,0.02,1.8851196
1.2415519,0.02,1.8497928
1.2515644,0.02,1.8159481
1.2615769,0.02,1.7835352
1.2715895,0.02,1.7525077
1.281602,0.02,1.7228191
1.2916145,0.02,1.6944187
1.301627,0.02,1.66726
1.3116395,0.02,1.6412932
