t,x,ts
0.0,0.02,3.1119356
0.010012516,0.02,3.6863704
0.020025032,0.02,3.9076364
0.030037548,0.02,4.0410013
0.040050063,0.02,3.973693
0.05006258,0.02,3.805487
0.060075097,0.02,3.6936455
0.07008761,0.02,3.6770127
0.08010013,0.02,3.6801662
0.09011264,0.02,3.688552
0.10012516,0.02,3.6856472
0.11013767,0.02,3.6783905
0.12015019,0.02,3.6708596
0.1301627,0.02,3.663339
0.14017522,0.02,3.6552212
0.15018773,0.02,3.6460173
0.16020025,0.02,3.635432
0.17021278,0.02,3.6233423
0.18022528,0.02,3.6098962
0.1902378,0.02,3.5957212
0.20025031,0.02,3.5820642
0.21026284,0.02,3.5706174
0.22027534,0.02,3.5629673
0.23028786,0.02,3.559914
0.24030039,0.02,3.561136
0.2503129,0.02,3.565421
0.26032543,0.02,3.5712757
0.27033794,0.02,3.577451
0.28035045,0.02,3.5831945
0.29036295,0.02,3.5882032
0.3003755,0.02,3.5924711
0.310388,0.02,3.5961342
0.3204005,0.02,3.599365
0.330413,0.02,3.6023285
0.34042555,0.02,3.6051483
0.35043806,0.02,3.607914
0.36045057,0.02,3.6106892
0.37046307,0.02,3.6135123
0.3804756,0.02,3.6164045
0.39048812,0.02,3.6193757
0.40050063,0.02,3.6224277
0.41051313,0.02,3.625551
0.42052567,0.02,3.628737
0.43053818,0.02,3.6319695
0.44055068,0.02,3.6352298
0.4505632,0.02,3.6384985
0.46057573,0.02,3.6417508
0.47058824,0.02,3.6449647
0.48060077,0.02,3.6481087
0.49061328,0.02,3.65115
0.5006258,0.02,3.6540527
0.5106383,0.02,3.6567745
0.52065086,0.02,3.6592627
0.5306634,0.02,3.6614568
0.5406759,0.02,3.6632926
0.5506884,0.02,3.664694
0.5607009,0.02,3.6655831
0.5707134,0.02,3.6658814
0.5807259,0.02,3.66552
0.5907384,0.02,3.6644435
0.600751,0.02,3.662621
0.6107635,0.02,3.660054
0.620776,0.02,3.6567764
0.6307885,0.02,3.6528711
0.640801,0.02,3.6484473
0.6508135,0.02,3.6436558
0.660826,0.02,3.6386726
0.67083853,0.02,3.6336842
0.6808511,0.02,3.6288877
0.6908636,0.02,3.6244595
0.7008761,0.02,3.6205597
0.7108886,0.02,3.617303
0.72090113,0.02,3.6147544
0.73091364,0.02,3.612926
0.74092615,0.02,3.611762
0.75093865,0.02,3.611162
0.7609512,0.02,3.610984
0.7709637,0.02,3.6110547
0.78097624,0.02,3.6111853
0.79098874,0.02,3.6111789
0.80100125,0.02,3.610842
