t,tf0,ts0
520392.6,873.7534,804.2234
522870.66,873.6447,846.1234
525348.72,873.4614,863.21564
527826.78,873.2018,869.51465
530304.84,873.1708,871.8703
532782.9,873.1547,872.60657
535260.96,873.25244,872.8881
537739.02,873.2064,872.9993
540217.08,873.46814,873.3018
542695.14,873.41003,873.252
545173.2,873.5176,873.03394
547651.26,873.5,872.8736
550129.32,873.2855,872.8321
552607.38,873.25653,872.86774
555085.44,873.2672,872.85376
557563.5,873.2462,872.78424
560041.5599999999,873.2962,872.68225
562519.62,873.29785,872.7671
564997.6799999999,871.8531,872.3855
567475.74,867.3234,869.9899
569953.7999999999,858.3759,864.08386
572431.86,843.963,853.9428
574909.9199999999,824.43225,838.9207
577387.98,800.65314,819.0409
579866.0399999999,772.28674,794.67236
582344.1,741.0902,767.2725
584822.16,738.5908,746.31555
587300.22,740.4889,743.55695
589778.28,739.60986,742.49927
592256.34,738.75476,741.85974
594734.4,737.9717,741.0872
597212.46,737.20593,740.5816
599690.52,736.6348,739.9147
602168.58,735.964,739.7584
