t,tf0,ts0
520392.6,869.564,796.58484
522870.66,872.161,842.99603
525348.75,872.5183,860.2637
527826.75,872.5121,867.2887
530304.8,872.5215,870.2246
532782.9,872.5476,871.5385
535260.94,872.6102,872.1169
537739.0,872.6002,872.45465
540217.06,873.03876,872.15735
542695.1,873.00616,872.6037
545173.2,872.8497,872.91644
547651.25,872.79926,872.8407
550129.3,872.67883,872.73206
552607.4,872.5863,872.59955
555085.44,872.46655,872.5365
557563.5,872.344,872.4339
560041.56,872.0915,872.2464
562519.6,871.68915,871.7179
564997.7,870.37756,870.9531
567475.75,866.1843,868.8504
569953.8,857.53186,863.4681
572431.9,843.6438,853.78845
574909.94,824.70953,838.98035
577388.0,800.0815,817.70337
579866.06,772.27155,792.521
582344.1,742.94415,763.6993
584822.2,735.22815,743.63855
587300.25,738.5521,738.8616
589778.25,737.80884,738.0438
592256.3,737.15454,737.2288
594734.4,736.53375,736.433
597212.44,735.9377,735.7449
599690.5,735.88544,735.0622
602168.56,735.99915,734.6572
